;Number of Cluster
2;5
3;5
4;5
5;3
6;3
7;4
8;4
9;4
10;6
11;7
12;5
13;6
14;6
15;4
16;5
17;5
18;4
19;4
20;4
21;4
22;5
23;6
24;6
25;6
26;6
27;6
28;5
29;6
30;7
31;5
32;4
33;3
34;4
35;4
36;3
37;4
38;4
39;4
40;4
41;4
42;4
43;4
44;4
45;3
46;2
47;4
48;5
49;5
50;5
51;5
52;5
53;5
54;5
55;4
56;5
57;6
58;7
59;6
60;7
61;7
62;6
63;6
64;6
65;4
66;4
67;4
68;4
69;4
70;4
71;4
72;4
73;4
74;4
75;4
76;4
77;4
78;4
79;6
80;7
81;6
82;6
83;6
84;7
85;6
86;6
87;5
88;6
89;5
90;4
91;6
92;5
93;4
94;4
95;5
96;5
97;5
98;5
99;5
100;5
