;Learn Tree;Learn VAR Model;Forecast
2;15;0;0
3;0;0;0
4;16;0;0
5;0;0;0
6;0;0;0
7;0;0;0
8;16;0;0
9;0;0;0
10;0;0;0
11;0;0;0
12;0;0;0
13;0;0;0
14;0;0;0
15;16;0;0
16;15;0;0
17;0;0;0
18;0;0;0
19;0;0;0
20;0;0;0
21;0;0;0
22;0;0;0
23;0;0;0
24;0;0;0
25;16;0;0
26;0;0;0
27;0;0;0
28;16;0;0
29;0;0;0
30;0;0;0
31;15;0;0
32;0;0;0
33;0;0;0
34;0;0;0
35;0;0;0
36;0;0;0
37;0;0;0
38;15;0;0
39;16;0;0
40;0;0;0
41;16;0;0
42;16;0;0
43;0;0;0
44;0;0;0
45;0;0;0
46;16;0;0
47;15;0;0
48;0;0;0
49;0;14672;0
50;0;13797;0
51;0;13718;0
52;0;13610;0
53;0;13375;15
54;0;13484;0
55;0;10782;16
56;0;14188;15
57;0;16719;0
58;0;19375;0
59;0;16234;0
60;0;18828;0
61;0;18953;0
62;0;16204;0
63;0;17078;0
64;0;16173;0
65;0;10938;16
66;0;10797;16
67;15;10891;0
68;0;11282;0
69;0;10781;0
70;0;10969;0
71;0;11000;0
72;0;10766;0
73;0;10922;0
74;0;10891;0
75;0;10859;0
76;0;10938;0
77;0;10860;0
78;0;10891;0
79;0;16281;0
80;0;18969;0
81;0;16156;0
82;0;16188;15
83;0;16375;0
84;0;18875;0
85;0;16109;0
86;0;16282;0
87;0;13469;0
88;0;16235;0
89;0;13406;0
90;16;10953;0
91;0;16281;0
92;0;13532;0
93;0;10860;0
94;0;11000;0
95;0;13641;0
96;0;13688;0
97;0;13547;0
98;0;13657;0
99;0;13547;0
100;0;13563;0
