;Learn Tree;Learn VAR Model;Forecast;;;
2;15;0;0;15;1;1
3;15;0;0;15;1;1
4;0;0;0;1;1;1
5;0;0;0;1;1;1
6;0;0;0;1;1;1
7;0;0;0;1;1;1
8;0;0;0;1;1;1
9;0;0;0;1;1;1
10;0;0;0;1;1;1
11;15;0;0;15;1;1
12;0;0;0;1;1;1
13;16;0;0;16;1;1
14;0;0;0;1;1;1
15;16;0;0;16;1;1
16;15;0;0;15;1;1
17;0;0;0;1;1;1
18;0;0;0;1;1;1
19;15;0;0;15;1;1
20;0;0;0;1;1;1
21;16;0;0;16;1;1
22;0;0;0;1;1;1
23;0;0;0;1;1;1
24;0;0;0;1;1;1
25;0;0;0;1;1;1
26;0;0;0;1;1;1
27;0;0;0;1;1;1
28;0;0;0;1;1;1
29;0;0;0;1;1;1
30;15;0;0;15;1;1
31;15;0;0;15;1;1
32;0;0;0;1;1;1
33;0;0;0;1;1;1
34;0;0;0;1;1;1
35;15;0;0;15;1;1
36;0;0;0;1;1;1
37;15;0;0;15;1;1
38;0;0;0;1;1;1
39;16;0;0;16;1;1
40;0;0;0;1;1;1
41;0;0;0;1;1;1
42;0;0;0;1;1;1
43;0;0;0;1;1;1
44;0;0;0;1;1;1
45;15;0;0;15;1;1
46;16;0;0;16;1;1
47;16;0;0;16;1;1
48;16;0;0;16;1;1
49;0;11984;0;1;11984;1
50;0;12000;0;1;12000;1
51;16;9140;0;16;9140;1
52;0;5516;0;1;5516;1
53;0;5735;0;1;5735;1
54;0;8328;0;1;8328;1
55;0;13563;0;1;13563;1
56;0;13672;0;1;13672;1
57;0;13501;0;1;13501;1
58;0;10985;0;1;10985;1
59;16;11203;0;16;11203;1
60;0;11094;0;1;11094;1
61;16;14031;0;16;14031;1
62;0;11110;0;1;11110;1
63;0;10891;0;1;10891;1
64;0;13687;0;1;13687;1
65;0;8141;15;1;8141;15
66;0;10672;0;1;10672;1
67;0;13563;0;1;13563;1
68;0;8032;0;1;8032;1
69;0;5563;0;1;5563;1
70;0;13469;0;1;13469;1
71;0;8172;0;1;8172;1
72;0;5407;0;1;5407;1
73;0;5500;0;1;5500;1
74;0;8156;0;1;8156;1
75;0;10891;0;1;10891;1
76;0;10750;0;1;10750;1
77;0;10844;0;1;10844;1
78;0;13406;0;1;13406;1
79;0;13610;0;1;13610;1
80;0;18953;0;1;18953;1
81;0;19750;0;1;19750;1
82;0;16172;0;1;16172;1
83;0;16063;0;1;16063;1
84;0;13516;0;1;13516;1
85;0;13501;0;1;13501;1
86;0;19062;0;1;19062;1
87;0;18985;0;1;18985;1
88;15;16219;0;15;16219;1
89;0;16281;0;1;16281;1
90;16;16359;0;16;16359;1
91;0;16297;0;1;16297;1
92;0;18985;0;1;18985;1
93;16;18922;0;16;18922;1
94;0;16515;0;1;16515;1
95;0;19703;0;1;19703;1
96;0;13781;0;1;13781;1
97;16;16469;0;16;16469;1
98;0;16735;0;1;16735;1
99;16;16328;0;16;16328;1
100;0;16438;0;1;16438;1
;;;;4,676767677;6845,424242;1,141414141
