;Number of Cluster
2;5
3;5
4;4
5;5
6;3
7;4
8;4
9;3
10;4
11;4
12;4
13;4
14;4
15;5
16;4
17;4
18;4
19;3
20;4
21;1
22;4
23;4
24;4
25;4
26;2
27;2
28;3
29;3
30;3
31;4
32;4
33;4
34;5
35;5
36;4
37;5
38;3
39;4
40;4
41;4
42;4
43;6
44;5
45;4
46;4
47;4
48;3
49;4
50;2
51;2
52;3
53;4
54;4
55;7
56;6
57;4
58;4
59;4
60;5
61;4
62;4
63;3
64;4
65;4
66;4
67;4
68;4
69;3
70;3
71;3
72;2
73;2
74;2
75;2
76;2
77;3
78;3
79;6
80;5
81;7
82;7
83;7
84;6
85;5
86;6
87;5
88;5
89;5
90;6
91;5
92;6
93;6
94;6
95;5
96;4
97;5
98;6
99;5
100;6
