;Learn Tree;Learn VAR Model;Forecast
2;16;0;0
3;15;0;0
4;0;0;0
5;15;0;0
6;0;0;0
7;15;0;0
8;0;0;0
9;0;0;0
10;15;0;0
11;0;0;0
12;0;0;0
13;0;0;0
14;0;0;0
15;15;0;0
16;16;0;0
17;0;0;0
18;0;0;0
19;0;0;0
20;0;0;0
21;16;0;0
22;16;0;0
23;0;0;0
24;0;0;0
25;0;0;0
26;0;0;0
27;0;0;0
28;0;0;0
29;0;0;0
30;0;0;0
31;0;0;0
32;0;0;0
33;0;0;0
34;0;0;0
35;0;0;0
36;0;0;0
37;0;0;0
38;0;0;0
39;16;0;0
40;0;0;0
41;16;0;0
42;16;0;0
43;15;0;0
44;15;0;0
45;0;0;0
46;16;0;0
47;0;0;0
48;0;0;0
49;0;6063;0
50;0;9125;0
51;0;8390;0
52;0;8250;0
53;0;8265;0
54;0;8594;0
55;0;11094;0
56;0;13766;0
57;0;13766;0
58;0;13923;0
59;15;16829;0
60;0;19829;0
61;0;21797;0
62;0;16375;0
63;0;16625;0
64;0;16563;0
65;0;11594;0
66;0;8250;0
67;15;8250;0
68;0;11079;0
69;0;5469;0
70;0;5437;0
71;0;11000;0
72;0;5437;0
73;0;5641;0
74;0;5282;0
75;0;8266;0
76;0;11141;0
77;0;13844;0
78;0;13735;0
79;0;13938;0
80;0;13860;0
81;0;19344;0
82;0;13547;0
83;0;16437;0
84;0;16235;0
85;0;19079;0
86;0;16454;0
87;0;16453;0
88;0;19031;0
89;0;13985;0
90;0;16312;0
91;16;19094;0
92;0;16313;0
93;0;16219;0
94;0;10984;0
95;0;16453;0
96;0;16359;0
97;0;16188;0
98;0;13532;0
99;0;13719;0
100;0;13547;0
