;Learn Tree;Learn VAR Model;Forecast
2;16;0;0
3;16;0;0
4;15;0;0
5;15;0;0
6;0;0;0
7;0;0;0
8;16;0;0
9;0;0;0
10;16;0;0
11;15;0;0
12;0;0;0
13;15;0;0
14;16;0;0
15;0;0;0
16;0;0;0
17;0;0;0
18;0;0;0
19;15;0;0
20;0;0;0
21;15;0;16
22;15;0;0
23;0;0;0
24;0;0;0
25;0;0;0
26;0;0;0
27;0;0;0
28;0;0;0
29;0;0;0
30;0;0;0
31;0;0;0
32;0;0;0
33;0;0;0
34;0;0;0
35;0;0;0
36;0;0;0
37;15;0;0
38;0;0;16
39;0;0;0
40;0;0;0
41;0;0;0
42;16;0;0
43;0;0;0
44;0;0;0
45;16;0;0
46;15;0;0
47;15;0;0
48;16;0;0
49;16;12875;15
50;15;11266;15
51;0;8344;0
52;0;5609;0
53;16;5484;0
54;0;8172;0
55;0;13656;0
56;16;13625;0
57;0;13657;0
58;0;11516;0
59;0;11360;0
60;0;11422;0
61;0;14047;0
62;0;11485;0
63;0;10859;0
64;0;13687;0
65;0;8516;0
66;0;10938;16
67;0;13406;0
68;0;8187;0
69;16;5515;0
70;0;13734;0
71;0;8266;0
72;16;5485;0
73;0;5469;0
74;15;8282;0
75;16;10891;0
76;0;11109;0
77;0;11015;0
78;0;13531;0
79;0;13500;15
80;0;19031;15
81;0;19250;0
82;0;16625;0
83;0;16375;0
84;0;13563;0
85;0;13703;0
86;0;19141;0
87;0;19094;0
88;0;16375;0
89;0;16359;0
90;0;16438;0
91;0;16640;0
92;16;19016;0
93;0;19125;0
94;0;16250;0
95;15;19688;0
96;0;13844;0
97;0;16484;0
98;0;16313;0
99;15;16329;0
100;0;16312;0
