;Learn Tree;Learn VAR Model;Forecast;;;
2;31;0;0;31;1;1
3;0;0;0;1;1;1
4;0;0;0;1;1;1
5;0;0;0;1;1;1
6;15;0;0;15;1;1
7;0;0;0;1;1;1
8;15;0;0;15;1;1
9;0;0;0;1;1;1
10;0;0;0;1;1;1
11;16;0;0;16;1;1
12;0;0;0;1;1;1
13;0;0;0;1;1;1
14;0;0;0;1;1;1
15;15;0;0;15;1;1
16;0;0;0;1;1;1
17;15;0;0;15;1;1
18;0;0;0;1;1;1
19;15;0;0;15;1;1
20;0;0;0;1;1;1
21;0;0;0;1;1;1
22;0;0;0;1;1;1
23;0;0;0;1;1;1
24;0;0;0;1;1;1
25;0;0;0;1;1;1
26;0;0;0;1;1;1
27;0;0;0;1;1;1
28;0;0;0;1;1;1
29;0;0;0;1;1;1
30;0;0;0;1;1;1
31;15;0;0;15;1;1
32;0;0;0;1;1;1
33;0;0;0;1;1;1
34;15;0;0;15;1;1
35;16;0;0;16;1;1
36;0;0;0;1;1;1
37;0;0;0;1;1;1
38;16;0;15;16;1;15
39;0;0;0;1;1;1
40;0;0;0;1;1;1
41;0;0;0;1;1;1
42;15;0;0;15;1;1
43;16;0;0;16;1;1
44;16;0;0;16;1;1
45;15;0;0;15;1;1
46;15;0;0;15;1;1
47;0;0;0;1;1;1
48;15;0;0;15;1;1
49;0;6218;16;1;6218;16
50;16;8344;0;16;8344;1
51;0;8438;0;1;8438;1
52;0;8172;0;1;8172;1
53;0;8188;0;1;8188;1
54;0;8219;0;1;8219;1
55;16;11015;0;16;11015;1
56;0;14265;0;1;14265;1
57;0;13562;0;1;13562;1
58;0;13625;0;1;13625;1
59;15;16860;0;15;16860;1
60;0;19329;0;1;19329;1
61;0;21656;0;1;21656;1
62;0;16673;0;1;16673;1
63;0;16344;0;1;16344;1
64;0;16375;0;1;16375;1
65;16;11140;0;16;11140;1
66;0;8140;0;1;8140;1
67;0;8109;0;1;8109;1
68;0;10969;0;1;10969;1
69;0;5344;0;1;5344;1
70;0;5531;0;1;5531;1
71;0;10844;0;1;10844;1
72;0;5406;0;1;5406;1
73;0;5484;0;1;5484;1
74;0;5453;0;1;5453;1
75;0;8001;0;1;8001;1
76;0;10953;0;1;10953;1
77;0;13750;0;1;13750;1
78;0;13672;0;1;13672;1
79;0;13547;0;1;13547;1
80;0;13735;0;1;13735;1
81;0;19187;0;1;19187;1
82;16;13672;0;16;13672;1
83;0;16328;0;1;16328;1
84;0;16812;0;1;16812;1
85;0;19172;0;1;19172;1
86;0;16469;0;1;16469;1
87;16;16297;0;16;16297;1
88;0;19250;0;1;19250;1
89;0;13547;0;1;13547;1
90;0;16469;0;1;16469;1
91;0;19297;15;1;19297;15
92;0;16531;0;1;16531;1
93;0;16328;0;1;16328;1
94;0;10891;0;1;10891;1
95;0;16344;0;1;16344;1
96;0;17109;0;1;17109;1
97;0;17234;0;1;17234;1
98;0;13703;0;1;13703;1
99;0;13672;0;1;13672;1
100;0;13750;0;1;13750;1
;;;;4,515151515;6863,333333;1,434343434
