;Learn Tree;Learn VAR Model;Forecast;;;
2;70;0;0;70;1;1
3;52;0;0;52;1;1
4;17;0;0;17;1;1
5;15;0;0;15;1;1
6;9;0;0;9;1;1
7;11;0;0;11;1;1
8;0;0;16;0;1;16
9;0;0;0;0;1;1
10;5;0;0;5;1;1
11;7;0;0;7;1;1
12;8;0;0;8;1;1
13;17;0;0;17;1;1
14;2;0;0;2;1;1
15;9;0;0;9;1;1
16;9;0;0;9;1;1
17;15;0;0;15;1;1
18;0;0;0;0;1;1
19;0;0;0;0;1;1
20;7;0;0;7;1;1
21;0;0;0;0;1;1
22;11;0;0;11;1;1
23;0;0;0;0;1;1
24;0;0;0;0;1;1
25;18;0;0;18;1;1
26;5;0;0;5;1;1
27;0;0;0;0;1;1
28;3;0;0;3;1;1
29;5;0;0;5;1;1
30;5;0;0;5;1;1
31;4;0;0;4;1;1
32;5;0;0;5;1;1
33;6;0;0;6;1;1
34;5;0;0;5;1;1
35;22;0;0;22;1;1
36;9;0;0;9;1;1
37;8;0;0;8;1;1
38;5;0;0;5;1;1
39;7;0;0;7;1;1
40;6;0;0;6;1;1
41;10;0;0;10;1;1
42;10;0;0;10;1;1
43;6;0;0;6;1;1
44;6;0;0;6;1;1
45;3;0;0;3;1;1
46;6;0;0;6;1;1
47;4;0;0;4;1;1
48;5;0;0;5;1;1
49;9;34321;32;9;34321;32
50;9;39317;10;9;39317;10
51;15;41340;16;15;41340;16
52;0;37605;7;0;37605;7
53;3;35738;0;3;35738;1
54;16;33501;16;16;33501;16
55;0;33156;16;0;33156;16
56;0;33532;0;0;33532;1
57;0;33297;15;0;33297;15
58;0;35970;0;0;35970;1
59;0;38673;0;0;38673;1
60;0;41282;16;0;41282;16
61;0;40547;0;0;40547;1
62;15;43548;0;15;43548;1
63;15;61220;16;15;61220;16
64;0;49963;6;0;49963;6
65;3;50157;0;3;50157;1
66;0;49150;4;0;49150;4
67;0;47202;7;0;47202;7
68;3;42840;0;3;42840;1
69;0;38203;15;0;38203;15
70;0;38016;0;0;38016;1
71;0;38048;0;0;38048;1
72;0;37875;0;0;37875;1
73;0;37750;0;0;37750;1
74;0;37766;0;0;37766;1
75;16;32844;0;16;32844;1
76;0;33250;15;0;33250;15
77;0;33298;0;0;33298;1
78;0;33547;0;0;33547;1
79;0;33156;0;0;33156;1
80;0;33563;0;0;33563;1
81;16;33235;0;16;33235;1
82;0;35266;16;0;35266;16
83;0;36079;0;0;36079;1
84;15;38125;0;15;38125;1
85;0;43157;15;0;43157;15
86;0;42876;0;0;42876;1
87;0;40453;0;0;40453;1
88;0;45439;0;0;45439;1
89;0;45548;0;0;45548;1
90;15;45782;0;15;45782;1
91;0;40344;0;0;40344;1
92;0;38188;0;0;38188;1
93;0;38438;16;0;38438;16
94;0;38954;0;0;38954;1
95;0;38188;0;0;38188;1
96;0;37860;16;0;37860;16
97;0;38110;16;0;38110;16
98;0;41032;0;0;41032;1
99;0;43172;0;0;43172;1
100;0;43063;0;0;43063;1
;;;;5,828282828;20737,68687;3,686868687
