;Number of Cluster
2;8
3;11
4;13
5;13
6;13
7;13
8;13
9;13
10;13
11;13
12;13
13;13
14;14
15;13
16;13
17;13
18;13
19;12
20;12
21;14
22;14
23;13
24;14
25;14
26;13
27;13
28;14
29;15
30;15
31;15
32;15
33;15
34;15
35;16
36;15
37;15
38;16
39;15
40;13
41;14
42;14
43;14
44;14
45;15
46;14
47;14
48;14
49;14
50;13
51;13
52;14
53;14
54;14
55;15
56;15
57;15
58;15
59;15
60;15
61;15
62;14
63;15
64;12
65;13
66;13
67;13
68;13
69;14
70;13
71;14
72;14
73;14
74;13
75;13
76;13
77;13
78;14
79;14
80;14
81;14
82;15
83;15
84;14
85;14
86;14
87;15
88;12
89;11
90;11
91;11
92;11
93;12
94;12
95;13
96;13
97;13
98;12
99;11
100;11
;1338
