;Learn Tree;Learn VAR Model;Forecast
2;62;0;0
3;78;0;0
4;78;0;0
5;47;0;0
6;39;0;0
7;47;0;0
8;25;0;0
9;16;0;0
10;16;0;0
11;31;0;0
12;16;0;0
13;16;0;0
14;31;0;0
15;31;0;0
16;15;0;0
17;47;0;0
18;47;0;0
19;47;0;0
20;47;0;0
21;31;0;0
22;31;0;0
23;32;0;0
24;47;0;0
25;31;0;0
26;37;0;0
27;40;0;0
28;36;0;0
29;31;0;0
30;44;0;0
31;48;0;0
32;39;0;0
33;44;0;0
34;45;0;0
35;40;0;0
36;44;0;0
37;49;0;0
38;72;1;0
39;77;1;0
40;42;0;0
41;65;0;0
42;55;0;0
43;44;1;0
44;63;0;0
45;47;0;0
46;73;0;0
47;54;0;0
48;67;0;0
49;87;32719;31
50;78;30344;0
51;47;31594;15
52;31;29463;15
53;15;28773;0
54;16;29353;0
55;16;29065;0
56;16;34059;15
57;16;30944;0
58;0;31125;16
59;15;34723;7
60;13;31273;10
61;20;28713;0
62;15;36991;6
63;15;34465;6
64;15;38421;6
65;16;29908;6
66;16;30254;5
67;13;29774;5
68;15;32240;5
69;13;29467;6
70;20;32098;5
71;15;29853;6
72;21;29401;5
73;14;32221;5
74;14;31779;16
75;16;28789;0
76;16;28116;16
77;32;29011;0
78;16;28546;16
79;0;32203;15
80;16;31161;15
81;16;31247;0
82;16;31081;0
83;31;29262;0
84;15;28326;15
85;16;31646;0
86;10;31775;7
87;10;36751;16
88;15;28938;0
89;16;28333;0
90;16;28453;0
91;15;28252;0
92;15;31201;16
93;16;28346;16
94;16;33066;9
95;17;28247;5
96;16;29977;0
97;16;29218;0
98;16;31867;0
99;7;28720;0
100;16;28734;0
