;Learn Tree;Learn VAR Model;Forecast;;;
2;52;0;0;52;1;1
3;47;0;0;47;1;1
4;62;0;0;62;1;1
5;47;0;0;47;1;1
6;31;0;0;31;1;1
7;31;0;0;31;1;1
8;31;0;0;31;1;1
9;32;0;0;32;1;1
10;32;0;0;32;1;1
11;31;0;0;31;1;1
12;16;0;0;16;1;1
13;16;0;0;16;1;1
14;15;0;0;15;1;1
15;31;0;0;31;1;1
16;47;0;0;47;1;1
17;32;0;0;32;1;1
18;50;0;2;50;1;2
19;52;0;0;52;1;1
20;53;0;0;53;1;1
21;51;0;0;51;1;1
22;48;0;0;48;1;1
23;50;0;0;50;1;1
24;44;0;0;44;1;1
25;42;0;0;42;1;1
26;30;0;0;30;1;1
27;41;0;0;41;1;1
28;30;0;0;30;1;1
29;43;0;0;43;1;1
30;36;0;0;36;1;1
31;53;0;0;53;1;1
32;46;0;0;46;1;1
33;57;0;0;57;1;1
34;46;0;0;46;1;1
35;37;0;0;37;1;1
36;64;0;0;64;1;1
37;47;0;0;47;1;1
38;54;1;2;54;1;2
39;42;0;0;42;1;1
40;67;0;0;67;1;1
41;68;0;0;68;1;1
42;75;0;0;75;1;1
43;56;0;0;56;1;1
44;57;0;0;57;1;1
45;45;0;0;45;1;1
46;47;0;0;47;1;1
47;61;0;0;61;1;1
48;60;0;0;60;1;1
49;81;32671;15;81;32671;15
50;93;31639;16;93;31639;16
51;32;29547;16;32;29547;16
52;41;30098;16;41;30098;16
53;15;33997;16;15;33997;16
54;15;28244;0;15;28244;1
55;31;31337;0;31;31337;1
56;16;33272;16;16;33272;16
57;15;30819;0;15;30819;1
58;16;33588;0;16;33588;1
59;0;28663;0;1;28663;1
60;16;28177;16;16;28177;16
61;16;28481;16;16;28481;16
62;16;33862;0;16;33862;1
63;15;31899;16;15;31899;16
64;15;28044;16;15;28044;16
65;15;28522;0;15;28522;1
66;16;28626;16;16;28626;16
67;16;28295;16;16;28295;16
68;16;30848;0;16;30848;1
69;16;31465;0;16;31465;1
70;15;29984;18;15;29984;18
71;1;28465;0;1;28465;1
72;32;28597;3;32;28597;3
73;13;31403;0;13;31403;1
74;15;28415;16;15;28415;16
75;0;28575;16;1;28575;16
76;15;28332;0;15;28332;1
77;16;28536;0;16;28536;1
78;16;31438;0;16;31438;1
79;15;30734;0;15;30734;1
80;31;30748;0;31;30748;1
81;16;30602;0;16;30602;1
82;16;28223;10;16;28223;10
83;20;28490;0;20;28490;1
84;20;28608;0;20;28608;1
85;15;30455;15;15;30455;15
86;0;30863;0;1;30863;1
87;22;28315;0;22;28315;1
88;16;28417;0;16;28417;1
89;16;29567;0;16;29567;1
90;16;31166;0;16;31166;1
91;15;31115;0;15;31115;1
92;16;31195;0;16;31195;1
93;15;28770;0;15;28770;1
94;15;28559;16;15;28559;16
95;0;28507;0;1;28507;1
96;16;29158;0;16;29158;1
97;16;28575;0;16;28575;1
98;15;32876;16;15;32876;16
99;15;28897;0;15;28897;1
100;15;28804;0;15;28804;1
;;;;31,16161616;15742,72727;3,858585859
