;Learn Tree;Learn VAR Model;Forecast
2;72;0;0
3;62;0;0
4;47;0;0
5;46;0;0
6;47;0;0
7;31;0;0
8;31;0;0
9;15;0;0
10;32;0;0
11;32;0;0
12;31;0;0
13;9;0;0
14;31;0;0
15;16;0;0
16;47;0;0
17;46;0;0
18;31;0;0
19;31;0;0
20;47;0;0
21;62;0;0
22;55;0;0
23;60;0;0
24;47;0;1
25;34;0;0
26;47;0;0
27;42;0;0
28;57;0;0
29;36;0;0
30;34;0;0
31;53;0;0
32;41;0;0
33;30;0;0
34;51;0;0
35;48;0;0
36;44;0;0
37;51;0;0
38;44;1;1
39;38;0;0
40;57;0;0
41;49;0;0
42;68;0;0
43;72;0;0
44;57;0;0
45;59;0;0
46;60;0;0
47;61;0;0
48;88;0;0
49;103;34540;15
50;72;33303;16
51;47;31453;16
52;16;30104;16
53;16;30625;0
54;32;30969;0
55;32;28328;0
56;15;30219;0
57;16;30531;16
58;15;30469;16
59;16;30250;0
60;15;28469;0
61;16;28406;16
62;16;27953;16
63;31;30735;0
64;31;30938;15
65;31;28146;0
66;20;28337;16
67;31;28526;0
68;31;30549;0
69;20;28037;0
70;32;31113;0
71;15;27907;15
72;32;28144;0
73;31;31137;15
74;16;28835;0
75;31;28735;0
76;16;28287;0
77;31;28141;16
78;31;28172;0
79;16;30500;16
80;15;30626;15
81;16;30750;0
82;15;31063;16
83;31;30735;0
84;31;30735;0
85;16;30719;0
86;31;30626;0
87;31;30547;16
88;15;27844;16
89;31;28391;0
90;32;28375;0
91;31;28141;16
92;31;30797;0
93;16;30953;16
94;15;30907;0
95;32;33109;16
96;16;30953;16
97;15;27954;15
98;31;28608;0
99;15;31282;0
100;16;28469;0
