;Number of Cluster
2;12
3;12
4;12
5;12
6;12
7;12
8;12
9;12
10;11
11;11
12;10
13;11
14;12
15;11
16;11
17;11
18;11
19;11
20;12
21;11
22;11
23;12
24;12
25;12
26;11
27;11
28;11
29;11
30;12
31;12
32;13
33;12
34;12
35;11
36;12
37;10
38;11
39;12
40;10
41;11
42;11
43;11
44;12
45;11
46;12
47;11
48;12
49;12
50;11
51;12
52;11
53;11
54;11
55;11
56;13
57;12
58;12
59;12
60;11
61;11
62;12
63;12
64;11
65;11
66;11
67;11
68;12
69;11
70;12
71;11
72;11
73;12
74;11
75;11
76;11
77;11
78;11
79;12
80;12
81;12
82;12
83;11
84;11
85;12
86;12
87;12
88;11
89;11
90;11
91;11
92;12
93;11
94;12
95;10
96;11
97;11
98;12
99;11
100;11
