;Learn Tree;Learn VAR Model;Forecast;;;
2;62;16;0;62;16;1
3;46;0;0;46;1;1
4;47;0;0;47;1;1
5;47;0;0;47;1;1
6;47;0;0;47;1;1
7;32;0;0;32;1;1
8;16;0;0;16;1;1
9;31;0;0;31;1;1
10;31;0;0;31;1;1
11;16;0;0;16;1;1
12;15;0;0;15;1;1
13;31;0;0;31;1;1
14;31;0;0;31;1;1
15;16;0;0;16;1;1
16;16;0;0;16;1;1
17;31;0;0;31;1;1
18;31;0;0;31;1;1
19;31;0;0;31;1;1
20;16;0;0;16;1;1
21;15;0;0;15;1;1
22;31;0;0;31;1;1
23;47;0;0;47;1;1
24;31;0;0;31;1;1
25;31;0;0;31;1;1
26;47;0;0;47;1;1
27;31;0;0;31;1;1
28;47;0;0;47;1;1
29;31;0;0;31;1;1
30;63;0;0;63;1;1
31;47;0;0;47;1;1
32;63;0;0;63;1;1
33;62;0;0;62;1;1
34;47;0;0;47;1;1
35;32;0;0;32;1;1
36;47;0;0;47;1;1
37;31;0;0;31;1;1
38;31;0;0;31;1;1
39;31;0;0;31;1;1
40;63;0;0;63;1;1
41;47;0;0;47;1;1
42;62;0;0;62;1;1
43;32;0;0;32;1;1
44;31;0;0;31;1;1
45;31;0;0;31;1;1
46;47;0;0;47;1;1
47;62;0;0;62;1;1
48;62;0;0;62;1;1
49;62;31985;0;62;31985;1
50;46;31751;16;46;31751;16
51;31;28563;15;31;28563;15
52;47;29860;16;47;29860;16
53;32;30391;0;32;30391;1
54;31;27782;0;31;27782;1
55;15;30672;0;15;30672;1
56;32;33203;16;32;33203;16
57;31;30375;16;31;30375;16
58;16;33532;15;16;33532;15
59;16;27750;0;16;27750;1
60;16;27906;0;16;27906;1
61;15;28454;0;15;28454;1
62;31;33110;0;31;33110;1
63;32;30469;0;32;30469;1
64;31;28047;16;31;28047;16
65;15;28063;16;15;28063;16
66;15;27938;16;15;27938;16
67;15;27844;0;15;27844;1
68;16;30641;15;16;30641;15
69;32;27906;16;32;27906;16
70;31;28157;0;31;28157;1
71;15;28001;0;15;28001;1
72;16;28079;15;16;28079;15
73;16;30328;0;16;30328;1
74;15;27876;0;15;27876;1
75;31;27953;0;31;27953;1
76;16;27891;0;16;27891;1
77;32;28844;0;32;28844;1
78;32;30422;0;32;30422;1
79;16;30938;0;16;30938;1
80;32;30594;0;32;30594;1
81;31;30563;0;31;30563;1
82;31;28250;16;31;28250;16
83;16;27797;0;16;27797;1
84;16;27719;15;16;27719;15
85;16;30219;0;16;30219;1
86;31;30422;0;31;30422;1
87;31;27782;0;31;27782;1
88;16;27719;15;16;27719;15
89;31;27938;0;31;27938;1
90;16;30391;16;16;30391;16
91;16;30235;0;16;30235;1
92;31;30438;15;31;30438;15
93;16;27750;0;16;27750;1
94;31;28063;16;31;28063;16
95;31;27970;15;31;27970;15
96;32;27953;0;32;27953;1
97;16;27704;0;16;27704;1
98;32;30234;16;32;30234;16
99;16;27734;0;16;27734;1
100;15;28407;0;15;28407;1
;;;;31,26262626;15360,35354;3,949494949
