;Number of Cluster
2;12
3;12
4;12
5;12
6;12
7;12
8;11
9;13
10;12
11;10
12;11
13;12
14;12
15;12
16;11
17;11
18;11
19;11
20;10
21;12
22;11
23;11
24;12
25;11
26;11
27;11
28;12
29;12
30;11
31;10
32;12
33;11
34;10
35;12
36;11
37;11
38;12
39;11
40;11
41;11
42;12
43;11
44;11
45;12
46;12
47;11
48;10
49;11
50;11
51;11
52;11
53;11
54;12
55;12
56;12
57;11
58;11
59;11
60;12
61;11
62;12
63;11
64;11
65;11
66;10
67;9
68;11
69;12
70;11
71;11
72;11
73;11
74;11
75;12
76;12
77;12
78;11
79;12
80;12
81;12
82;11
83;12
84;11
85;12
86;12
87;11
88;10
89;12
90;11
91;12
92;12
93;12
94;11
95;11
96;12
97;12
98;12
99;12
100;11
