;Learn Tree;Learn VAR Model;Forecast;;;
2;16;0;0;16;1;1
3;15;0;0;15;1;1
4;0;0;0;1;1;1
5;16;0;0;16;1;1
6;0;0;0;1;1;1
7;0;0;0;1;1;1
8;0;0;0;1;1;1
9;15;0;0;15;1;1
10;0;0;0;1;1;1
11;0;0;0;1;1;1
12;15;0;0;15;1;1
13;0;0;0;1;1;1
14;16;0;0;16;1;1
15;0;0;0;1;1;1
16;16;0;0;16;1;1
17;0;0;0;1;1;1
18;16;0;0;16;1;1
19;16;0;0;16;1;1
20;16;0;0;16;1;1
21;0;0;0;1;1;1
22;16;0;0;16;1;1
23;16;0;0;16;1;1
24;16;0;0;16;1;1
25;0;0;0;1;1;1
26;16;0;0;16;1;1
27;16;0;0;16;1;1
28;0;0;0;1;1;1
29;15;0;0;15;1;1
30;16;0;0;16;1;1
31;16;0;0;16;1;1
32;16;0;0;16;1;1
33;0;0;0;1;1;1
34;0;0;0;1;1;1
35;0;0;0;1;1;1
36;0;0;0;1;1;1
37;0;0;0;1;1;1
38;16;0;0;16;1;1
39;0;0;0;1;1;1
40;0;0;0;1;1;1
41;16;0;0;16;1;1
42;0;0;0;1;1;1
43;0;0;0;1;1;1
44;16;0;0;16;1;1
45;0;0;0;1;1;1
46;0;0;0;1;1;1
47;0;0;0;1;1;1
48;0;0;0;1;1;1
49;15;17844;16;15;17844;16
50;15;14376;0;15;14376;1
51;31;20047;0;31;20047;1
52;0;17156;0;1;17156;1
53;15;16875;0;15;16875;1
54;0;20000;0;1;20000;1
55;0;18016;0;1;18016;1
56;0;17047;0;1;17047;1
57;0;17031;0;1;17031;1
58;0;16859;0;1;16859;1
59;0;17047;0;1;17047;1
60;0;16875;0;1;16875;1
61;0;11735;0;1;11735;1
62;0;11562;0;1;11562;1
63;0;14016;0;1;14016;1
64;0;11375;0;1;11375;1
65;0;11313;0;1;11313;1
66;0;12141;0;1;12141;1
67;0;11438;16;1;11438;16
68;0;11656;0;1;11656;1
69;0;5391;0;1;5391;1
70;0;8813;0;1;8813;1
71;0;5719;0;1;5719;1
72;0;8516;0;1;8516;1
73;0;12281;0;1;12281;1
74;0;8438;0;1;8438;1
75;0;8469;0;1;8469;1
76;0;11407;0;1;11407;1
77;16;14718;0;16;14718;1
78;0;11980;0;1;11980;1
79;0;8406;0;1;8406;1
80;0;8531;0;1;8531;1
81;0;13922;0;1;13922;1
82;16;11094;0;16;11094;1
83;0;8297;0;1;8297;1
84;0;11141;0;1;11141;1
85;0;5719;0;1;5719;1
86;0;8266;0;1;8266;1
87;0;8500;0;1;8500;1
88;0;8407;0;1;8407;1
89;0;11312;0;1;11312;1
90;0;11204;0;1;11204;1
91;0;11719;0;1;11719;1
92;0;11390;0;1;11390;1
93;0;8578;0;1;8578;1
94;0;8625;0;1;8625;1
95;0;5876;0;1;5876;1
96;0;5656;0;1;5656;1
97;0;5672;0;1;5672;1
98;0;11141;0;1;11141;1
99;0;5563;0;1;5563;1
100;0;11563;0;1;11563;1
;;;;5,323232323;6068,383838;1,303030303
