;Learn Tree;Learn VAR Model;Forecast;;;
2;15;0;0;15;1;1
3;15;0;0;15;1;1
4;0;0;0;1;1;1
5;0;0;0;1;1;1
6;0;0;0;1;1;1
7;16;0;0;16;1;1
8;0;0;0;1;1;1
9;15;0;0;15;1;1
10;0;0;0;1;1;1
11;0;0;0;1;1;1
12;16;0;0;16;1;1
13;0;0;0;1;1;1
14;0;0;0;1;1;1
15;16;0;0;16;1;1
16;16;0;0;16;1;1
17;15;0;0;15;1;1
18;0;0;0;1;1;1
19;16;0;0;16;1;1
20;16;0;0;16;1;1
21;0;0;0;1;1;1
22;16;0;0;16;1;1
23;0;0;0;1;1;1
24;15;0;0;15;1;1
25;0;0;0;1;1;1
26;0;0;0;1;1;1
27;0;0;0;1;1;1
28;16;0;0;16;1;1
29;0;0;0;1;1;1
30;0;0;0;1;1;1
31;0;0;0;1;1;1
32;0;0;0;1;1;1
33;0;0;0;1;1;1
34;0;0;0;1;1;1
35;0;0;0;1;1;1
36;15;0;0;15;1;1
37;0;0;0;1;1;1
38;0;0;0;1;1;1
39;0;0;0;1;1;1
40;0;0;0;1;1;1
41;0;0;0;1;1;1
42;16;0;0;16;1;1
43;16;0;0;16;1;1
44;0;0;0;1;1;1
45;15;0;0;15;1;1
46;0;0;0;1;1;1
47;0;0;0;1;1;1
48;0;0;0;1;1;1
49;0;12313;0;1;12313;1
50;15;17188;0;15;17188;1
51;0;14360;0;1;14360;1
52;0;14375;0;1;14375;1
53;0;14360;0;1;14360;1
54;0;18016;0;1;18016;1
55;0;14140;0;1;14140;1
56;15;14641;0;15;14641;1
57;16;17703;0;16;17703;1
58;0;17563;0;1;17563;1
59;0;14063;0;1;14063;1
60;0;17109;0;1;17109;1
61;0;9422;0;1;9422;1
62;0;14110;0;1;14110;1
63;0;14469;0;1;14469;1
64;0;14125;0;1;14125;1
65;0;11437;0;1;11437;1
66;0;11469;0;1;11469;1
67;0;12063;0;1;12063;1
68;0;5953;0;1;5953;1
69;0;5656;0;1;5656;1
70;0;8625;0;1;8625;1
71;0;5562;0;1;5562;1
72;0;8578;0;1;8578;1
73;0;11437;0;1;11437;1
74;0;8594;0;1;8594;1
75;0;11453;0;1;11453;1
76;0;14047;0;1;14047;1
77;0;11406;0;1;11406;1
78;0;11828;0;1;11828;1
79;16;14297;0;16;14297;1
80;0;8469;0;1;8469;1
81;0;14250;0;1;14250;1
82;0;8672;0;1;8672;1
83;15;8375;16;15;8375;16
84;0;11234;0;1;11234;1
85;0;5640;0;1;5640;1
86;0;11250;0;1;11250;1
87;0;8610;0;1;8610;1
88;0;8735;0;1;8735;1
89;0;11313;0;1;11313;1
90;0;11313;0;1;11313;1
91;16;11484;15;16;11484;15
92;16;11313;0;16;11313;1
93;0;8375;0;1;8375;1
94;0;5750;0;1;5750;1
95;0;5687;0;1;5687;1
96;0;8390;0;1;8390;1
97;0;8406;0;1;8406;1
98;0;5687;16;1;5687;16
99;0;14094;0;1;14094;1
100;0;11203;0;1;11203;1
;;;;4,535353535;5946,050505;1,444444444
