;Number of Cluster
2;4
3;3
4;3
5;3
6;3
7;4
8;4
9;3
10;4
11;3
12;5
13;6
14;4
15;4
16;4
17;5
18;4
19;3
20;3
21;3
22;5
23;3
24;4
25;5
26;5
27;5
28;4
29;3
30;4
31;2
32;2
33;2
34;4
35;3
36;5
37;4
38;4
39;4
40;4
41;4
42;4
43;4
44;4
45;4
46;5
47;5
48;5
49;4
50;6
51;5
52;5
53;5
54;6
55;5
56;5
57;6
58;6
59;5
60;6
61;3
62;5
63;5
64;5
65;4
66;4
67;4
68;2
69;2
70;3
71;2
72;3
73;4
74;3
75;4
76;5
77;4
78;4
79;5
80;3
81;5
82;3
83;3
84;4
85;2
86;4
87;3
88;3
89;4
90;4
91;4
92;4
93;3
94;2
95;2
96;3
97;3
98;2
99;5
100;4
;387
