;Learn Tree;Learn VAR Model;Forecast;;;
2;16;0;0;16;1;1
3;0;0;0;1;1;1
4;0;0;0;1;1;1
5;16;0;0;16;1;1
6;16;0;0;16;1;1
7;0;0;0;1;1;1
8;0;0;0;1;1;1
9;15;0;0;15;1;1
10;0;0;0;1;1;1
11;16;0;0;16;1;1
12;15;0;0;15;1;1
13;16;0;0;16;1;1
14;0;0;0;1;1;1
15;15;0;0;15;1;1
16;0;0;0;1;1;1
17;0;0;0;1;1;1
18;0;0;0;1;1;1
19;0;0;0;1;1;1
20;0;0;0;1;1;1
21;0;0;0;1;1;1
22;16;0;0;16;1;1
23;0;0;0;1;1;1
24;0;0;0;1;1;1
25;0;0;0;1;1;1
26;15;0;0;15;1;1
27;0;0;0;1;1;1
28;0;0;0;1;1;1
29;16;0;0;16;1;1
30;15;0;0;15;1;1
31;0;0;0;1;1;1
32;0;0;0;1;1;1
33;0;0;0;1;1;1
34;0;0;0;1;1;1
35;0;0;0;1;1;1
36;0;0;0;1;1;1
37;0;0;0;1;1;1
38;16;0;0;16;1;1
39;16;0;0;16;1;1
40;0;0;0;1;1;1
41;0;0;0;1;1;1
42;0;0;0;1;1;1
43;16;0;0;16;1;1
44;0;0;0;1;1;1
45;0;0;0;1;1;1
46;0;0;0;1;1;1
47;0;0;0;1;1;1
48;0;0;0;1;1;1
49;0;18219;0;1;18219;1
50;31;17126;16;31;17126;16
51;16;17750;0;16;17750;1
52;0;17172;0;1;17172;1
53;0;17126;0;1;17126;1
54;0;16891;0;1;16891;1
55;0;17454;0;1;17454;1
56;16;17750;0;16;17750;1
57;16;14484;0;16;14484;1
58;0;17063;0;1;17063;1
59;0;11563;0;1;11563;1
60;0;11437;0;1;11437;1
61;0;11547;16;1;11547;16
62;0;12094;0;1;12094;1
63;0;14484;0;1;14484;1
64;0;14406;0;1;14406;1
65;0;14360;0;1;14360;1
66;0;14500;0;1;14500;1
67;0;14251;0;1;14251;1
68;0;5813;0;1;5813;1
69;0;8484;0;1;8484;1
70;0;8937;0;1;8937;1
71;0;8641;0;1;8641;1
72;0;14625;0;1;14625;1
73;0;11610;0;1;11610;1
74;0;8922;0;1;8922;1
75;0;14312;0;1;14312;1
76;16;14828;0;16;14828;1
77;0;14250;0;1;14250;1
78;0;14516;15;1;14516;15
79;0;14313;0;1;14313;1
80;0;8485;0;1;8485;1
81;0;11625;0;1;11625;1
82;0;11234;0;1;11234;1
83;0;11422;0;1;11422;1
84;0;11266;0;1;11266;1
85;0;8860;0;1;8860;1
86;0;11422;0;1;11422;1
87;0;11500;0;1;11500;1
88;0;11281;0;1;11281;1
89;0;11532;0;1;11532;1
90;0;14204;0;1;14204;1
91;0;8562;0;1;8562;1
92;0;11344;0;1;11344;1
93;0;11250;0;1;11250;1
94;16;13937;0;16;13937;1
95;0;8438;15;1;8438;15
96;0;11376;0;1;11376;1
97;0;11157;0;1;11157;1
98;0;14750;0;1;14750;1
99;0;14594;0;1;14594;1
100;16;14281;0;16;14281;1
;;;;4,434343434;6782,777778;1,585858586
