;Number of Cluster
2;4
3;3
4;3
5;3
6;3
7;5
8;3
9;4
10;5
11;4
12;5
13;4
14;4
15;5
16;4
17;4
18;4
19;5
20;4
21;3
22;4
23;5
24;6
25;3
26;5
27;3
28;3
29;4
30;3
31;2
32;4
33;4
34;2
35;4
36;4
37;4
38;5
39;5
40;5
41;4
42;4
43;4
44;5
45;5
46;5
47;5
48;5
49;6
50;6
51;6
52;6
53;6
54;6
55;6
56;6
57;5
58;6
59;4
60;4
61;4
62;4
63;5
64;5
65;5
66;5
67;5
68;2
69;3
70;3
71;3
72;5
73;4
74;3
75;5
76;5
77;5
78;5
79;5
80;3
81;4
82;4
83;4
84;4
85;3
86;4
87;4
88;4
89;4
90;5
91;3
92;4
93;4
94;5
95;3
96;4
97;4
98;5
99;5
100;5
