;Learn Tree;Learn VAR Model;Forecast
2;31;0;0
3;0;0;0
4;15;0;0
5;16;0;0
6;15;0;0
7;16;0;0
8;0;0;0
9;0;0;0
10;0;0;0
11;0;0;0
12;15;0;0
13;0;0;0
14;0;0;0
15;0;0;0
16;0;0;0
17;0;0;0
18;0;0;0
19;0;0;0
20;0;0;0
21;16;0;0
22;15;0;0
23;0;0;0
24;0;0;0
25;0;0;0
26;0;0;0
27;0;0;0
28;0;0;0
29;16;0;0
30;0;0;0
31;0;0;0
32;0;0;0
33;0;0;0
34;0;0;0
35;0;0;0
36;15;0;0
37;0;0;0
38;0;0;0
39;0;0;0
40;0;0;0
41;0;0;0
42;0;0;0
43;16;0;0
44;0;0;0
45;0;0;0
46;0;0;0
47;0;0;0
48;0;0;0
49;0;18094;15
50;0;16891;16
51;0;17312;0
52;0;17219;0
53;0;16782;0
54;0;17698;0
55;0;17485;0
56;0;17609;16
57;0;14485;0
58;0;17078;0
59;0;11469;0
60;0;11359;0
61;0;11500;0
62;0;11922;0
63;0;14375;0
64;0;14625;0
65;0;14047;0
66;0;14234;0
67;0;14234;0
68;15;5704;0
69;0;8532;15
70;0;9032;15
71;0;8563;0
72;0;14485;0
73;0;11328;0
74;0;8781;0
75;0;14360;15
76;0;14282;0
77;0;14657;0
78;0;14485;0
79;0;14437;0
80;0;8875;0
81;16;11391;0
82;0;11485;0
83;0;11469;0
84;0;11782;0
85;0;8781;0
86;0;11438;0
87;0;11328;0
88;0;11281;0
89;0;11344;0
90;0;14126;0
91;0;8438;0
92;0;11766;0
93;0;11375;0
94;0;14000;0
95;16;8656;0
96;0;11359;0
97;0;11500;0
98;0;14250;0
99;0;14438;0
100;0;13906;0
