;Learn Tree;Learn VAR Model;Forecast
2;31;0;0
3;0;0;0
4;0;0;0
5;15;0;0
6;0;0;0
7;15;0;0
8;0;0;0
9;16;0;0
10;15;0;0
11;0;0;0
12;0;0;0
13;0;0;0
14;0;0;0
15;16;0;0
16;0;0;0
17;0;0;0
18;0;0;0
19;0;0;0
20;0;0;0
21;0;0;0
22;0;0;0
23;16;0;0
24;16;0;15
25;0;0;0
26;0;0;0
27;0;0;0
28;15;0;0
29;16;0;0
30;0;0;0
31;15;0;0
32;0;0;0
33;16;0;0
34;15;0;0
35;0;0;0
36;0;0;0
37;0;0;0
38;0;0;0
39;0;0;0
40;0;0;0
41;0;0;0
42;0;0;0
43;16;0;0
44;0;0;0
45;0;0;0
46;0;0;0
47;0;0;0
48;0;0;0
49;0;15000;0
50;0;14016;15
51;15;13874;0
52;0;14036;0
53;0;14030;0
54;0;13905;0
55;0;13942;0
56;0;13746;0
57;0;9305;16
58;0;9320;0
59;15;9344;0
60;0;9312;0
61;0;9234;0
62;15;8318;0
63;0;5601;15
64;0;5867;0
65;15;5431;0
66;0;5850;0
67;0;5954;0
68;16;5388;0
69;0;8148;0
70;0;5328;0
71;0;8156;0
72;0;8260;0
73;0;8251;0
74;0;8085;0
75;0;8234;0
76;16;8175;0
77;0;8173;0
78;0;8087;0
79;0;8148;0
80;0;8226;0
81;0;8300;0
82;0;5531;0
83;0;5490;0
84;0;5394;0
85;0;5416;0
86;0;5437;0
87;0;5453;0
88;0;5485;0
89;0;5562;0
90;0;5444;0
91;0;5407;0
92;16;5449;0
93;0;5494;0
94;0;5547;0
95;0;5508;0
96;0;5413;0
97;0;5579;0
98;0;5366;0
99;0;5421;0
100;0;5398;0
