;dewp;pres;temp;wind;
ID: 3;0,0;0,0;0,0;0,0;
ID: 4;0,0;0,0;0,0;0,0;
ID: 5;0,0;0,0;0,0;0,0;
ID: 6;0,0;0,0;0,0;0,0;
ID: 7;0,0;0,0;0,0;0,0;
ID: 8;0,0;0,0;0,0;0,0;
ID: 9;0,0;0,0;0,0;0,0;
ID: 10;0,0;0,0;0,0;0,0;
ID: 11;0,0;0,0;0,0;0,0;
ID: 12;0,0;0,0;0,0;0,0;
ID: 13;0,0;0,0;0,0;0,0;
ID: 14;0,0;0,0;0,0;0,0;
ID: 15;0,0;0,0;0,0;0,0;
ID: 16;0,0;0,0;0,0;0,0;
ID: 17;0,0;0,0;0,0;0,0;
ID: 18;0,0;0,0;0,0;0,0;
ID: 19;0,0;0,0;0,0;0,0;
ID: 20;0,0;0,0;0,0;0,0;
ID: 21;0,0;0,0;0,0;0,0;
ID: 22;0,0;0,0;0,0;0,0;
ID: 23;0,0;0,0;0,0;0,0;
ID: 24;0,0;0,0;0,0;0,0;
ID: 25;0,36691070995108727;0,09962961337018013;1,0627440834298965;0,06139456328786349;
ID: 26;0,25884507864978495;0,08086169096277689;0,8433372119858986;0,0450095537411204;
ID: 27;0,34575114172673405;0,0948949109893847;0,993035864581461;0,061078392617486016;
ID: 28;0,3162823510551891;0,0945809331054144;0,7140478682957606;0,06447617418848989;
ID: 29;0,31807965362338536;0,09152550146403671;0,6884915249079633;0,054796648043257595;
ID: 30;0,37567323173430184;0,08616013856031274;0,7731540461029027;0,05902432822662337;
ID: 31;0,364330536112855;0,04141901187634068;0,7751874894368556;0,04999155804722359;
ID: 32;0,39512356356498474;0,045888561679841094;0,8415686722677349;0,062079762540149415;
ID: 33;0,35189915918095405;0,04900423872608996;0,7880861658303977;0,04940817651043901;
ID: 34;0,32390651791304875;0,04159601909857521;0,7015259966096175;0,04706835993522061;
ID: 35;0,39263458110165705;0,04380613667229612;0,8359623089184225;0,057675235235724334;
ID: 36;0,2770797349453915;0,036743133950602934;0,4285444798789227;0,0635660694434833;
ID: 37;0,24482631988361794;0,029214920632056048;0,4744763097210381;0,06067808399754033;
ID: 38;0,2597060859070299;0,0263345029851958;0,5782160656467664;0,06542354269872025;
ID: 39;0,22947819425105093;0,03153491834716836;0,4766889887632114;0,051860619910243225;
ID: 40;0,21400671596041457;0,023451183944021767;0,4572696656025938;0,05110623593828671;
ID: 41;0,2642795128712322;0,03694768467848765;0,546900186967231;0,05442014853790531;
ID: 42;0,22579340030149858;0,03598183248682644;0,502143193773956;0,032796994680119235;
ID: 43;0,3244786680786842;0,04030139033416052;0,5927206679453056;0,0627396713943798;
ID: 44;0,25369427299286307;0,03829005761633744;0,5627764619875207;0,04932928396142852;
ID: 45;0,25245316430824494;0,03438792471551938;0,5862293160675658;0,06255473423715283;
ID: 46;0,2234141525997423;0,035566680051152634;0,5971408682569781;0,07351525539850734;
ID: 47;0,243305404391584;0,038882358661874415;0,8690010698974154;0,07046670460269211;
ID: 48;0,24004104336763302;0,024268312044078713;0,7105551695678852;0,057260214896232155;
ID: 49;0,2677946582660327;0,03808977957613613;0,9426676390499487;0,07139504631946886;
ID: 50;0,27032644251485927;0,03537270032388962;0,8134176720229148;0,06243530774250014;
ID: 51;0,27493814566127617;0,035220362634319706;0,8563722374205931;0,05926843434951769;
ID: 52;0,26427218875130953;0,04282750836722817;0,9609400718239196;0,06998456841312639;
ID: 53;0,20631968211393226;0,028928984899754023;0,7931312652458996;0,06049163819645274;
ID: 54;0,1734641561518604;0,03150378739137854;0,644168812703422;0,053420526136780166;
ID: 55;0,1712876102832697;0,029019093374868403;0,5646634769457815;0,03987328190253631;
ID: 56;0,16067932806900553;0,03220659755791819;0,6836535001382216;0,047650597219145364;
ID: 57;0,17746404592981307;0,02327330673597569;0,6551774718600973;0,053635973520716675;
ID: 58;0,30547421101337396;0,031230511561033198;0,8051836842418443;0,057321595585642794;
ID: 59;0,34222524363921425;0,020080517029191593;0,8540592358516538;0,06408771752222248;
ID: 60;0,2850766887084978;0,029747232251844842;0,591828052181795;0,05474281833831185;
ID: 61;0,2777486941915695;0,031036339347496923;0,46774201260370724;0,053886484413740714;
ID: 62;0,28350434341208947;0,04606439876078872;0,5617642636109129;0,04888560590397168;
ID: 63;0,3044479553794251;0,03978043717171332;0,6034308394865104;0,04451395379546938;
ID: 64;0,3590191012199103;0,039770398264217396;0,7230633755298699;0,06134075123509103;
ID: 65;0,2867982917241384;0,03501719349752358;0,4698870612833351;0,03514298543801436;
ID: 66;0,4130228330428001;0,04642752852386852;0,8686672173128787;0,04670327616595204;
ID: 67;0,39345530165111336;0,0532603295625636;0,64657240980786;0,029829373599718503;
ID: 68;0,3753250671349834;0,03993729253311243;0,6861328071710457;0,04423760976939073;
ID: 69;0,39973533366326375;0,047149594369930506;0,8371777996947977;0,06049127658920074;
ID: 70;0,444144908184956;0,05173884581618463;0,9416552732186457;0,0611548451373454;
ID: 71;0,33622255916134186;0,042509870740094005;0,7107505694682658;0,04922728256353567;
ID: 72;0,3932629230005501;0,05481066541597567;0,8019567923936808;0,05569891830075699;
ID: 73;0,3815991856357714;0,04286870741597327;0,6640729439660198;0,050707942079547715;
ID: 74;0,2893542573325518;0,035933188922866226;0,5320731917227073;0,04466900549247611;
ID: 75;0,32739313381706503;0,041826577548333216;0,6386332417005366;0,04878019557471075;
ID: 76;0,3414702084368898;0,04212721233900891;0,801560095578363;0,06125865592330183;
ID: 77;0,348242283890581;0,03170444428095162;0,7460393250657696;0,06261299645234736;
ID: 78;0,29716921901941096;0,030239893471841188;0,46001379420140087;0,03896075697050212;
ID: 79;0,33896952877895775;0,029799234860045043;0,6419713631473052;0,053313614133330404;
ID: 80;0,37122051946722073;0,04780890482953479;0,6729826680237083;0,03666211106894121;
ID: 81;0,3829714291533076;0,01740064246751501;0,9030285649891747;0,04529594820010851;
ID: 82;0,5254695481866055;0,02994506909548743;0,8693888285475486;0,03852548835814034;
ID: 83;0,7078929904248608;0,02032888349702994;1,1213685660323265;0,047090881868890516;
ID: 84;0,5732312314628598;0,021492085773130023;0,7958805596277141;0,04163408535915421;
ID: 85;0,7348575989929803;0,025320625902309168;1,0012471347543483;0,04836272954522431;
ID: 86;0,6463614207898063;0,026306746692213053;0,9052162457409018;0,044319021905097705;
ID: 87;0,45206390550504716;0,034324377897873036;0,602897022980988;0,03575491516400398;
