;Learn Tree;Learn VAR Model;Forecast
2;5;0;0
3;16;0;0
4;16;0;0
5;15;0;0
6;15;0;0
7;15;0;0
8;16;0;0
9;157;0;0
10;81;0;0
11;62;0;0
12;47;0;0
13;33;0;0
14;47;0;0
15;47;0;0
16;30;0;0
17;16;0;0
18;15;0;0
19;8;0;0
20;0;0;0
21;0;0;0
22;0;0;0
23;11;0;0
24;0;0;0
25;0;0;0
26;0;0;0
27;7;0;0
28;0;0;0
29;0;0;0
30;0;0;0
31;0;0;0
32;2;0;0
33;78;0;0
34;47;0;0
35;16;0;0
36;4;0;0
37;0;0;0
38;16;0;0
39;0;0;0
40;7;0;0
41;16;0;0
42;31;0;0
43;31;0;0
44;8;0;2
45;0;0;0
46;0;0;0
47;0;0;0
48;0;0;0
49;3;4642;79
50;0;2406;32
51;0;2531;32
52;0;2375;63
53;0;2297;27
54;0;2312;41
55;0;2360;32
56;0;2172;17
57;156;8469;31
58;31;29829;16
59;16;36906;31
60;16;40688;31
61;0;49157;31
62;0;46470;31
63;16;46875;32
64;0;46829;47
65;15;36516;32
66;31;48938;31
67;16;2437;19
68;0;2500;30
69;0;2578;23
70;0;2281;20
71;0;2297;36
72;0;2421;47
73;0;2422;32
74;0;2344;31
75;0;2421;24
76;0;2375;23
77;0;2406;25
78;0;2469;42
79;0;2500;23
80;0;2328;23
81;32;6406;16
