;Learn Tree;Learn VAR Model;Forecast
2;63;0;0
3;33;0;0
4;0;0;0
5;16;0;0
6;16;0;0
7;0;0;0
8;15;0;0
9;16;0;0
10;15;0;0
11;16;0;0
12;15;0;0
13;1;0;0
14;16;0;0
15;0;0;0
16;0;0;0
17;0;0;0
18;15;0;0
19;0;0;0
20;0;0;0
21;16;0;0
22;2;0;0
23;0;0;0
24;0;0;0
25;0;25906;16
26;15;24921;16
27;0;24431;0
28;0;24290;16
29;0;24845;0
30;0;24482;0
31;0;24572;15
32;0;25787;0
33;0;25188;0
34;0;27071;0
35;0;26780;0
36;0;26757;0
37;0;31266;15
38;16;30110;0
39;0;27135;0
40;0;27457;0
41;0;26827;0
42;0;24107;0
43;0;24177;0
44;0;24524;0
45;16;24394;0
46;0;24453;0
47;0;24159;0
48;0;24471;0
49;0;24224;0
50;0;24431;0
51;0;24576;0
52;0;24030;0
53;16;24478;15
54;0;24287;0
55;0;24458;0
56;0;24999;0
57;0;24494;0
58;15;27030;0
59;0;26802;0
60;0;27559;0
61;0;29229;0
62;0;29393;0
63;0;29418;16
64;0;26489;0
65;0;26924;0
66;0;24225;0
67;0;24332;0
68;0;24354;0
69;0;24297;0
70;0;24190;47
71;0;24222;0
72;0;24256;0
73;0;24068;0
74;16;24241;0
75;0;24275;0
76;0;24216;0
77;0;24265;0
78;0;24407;0
79;16;24837;0
80;3;24874;0
81;0;27229;0
