;Learn Tree;Learn VAR Model;Forecast
2;32;0;0
3;0;0;0
4;0;0;0
5;0;0;0
6;0;0;0
7;0;0;0
8;0;0;0
9;0;0;0
10;15;0;0
11;16;0;0
12;0;0;0
13;0;0;0
14;0;0;0
15;0;0;0
16;15;0;0
17;0;0;0
18;0;0;0
19;15;0;0
20;0;0;16
21;0;0;0
22;15;0;0
23;0;0;0
24;0;0;0
25;0;5515;0
26;0;14984;0
27;15;15954;0
28;15;10782;20
29;16;10594;0
30;0;10672;4
31;16;10547;0
32;0;10453;17
33;0;10484;0
34;16;10453;27
35;16;10562;6
36;16;10438;5
37;16;10484;2
38;0;10563;9
39;16;10484;6
40;0;10438;16
41;0;10469;7
42;0;10563;3
43;15;10438;4
44;0;10281;13
45;15;15360;0
46;0;10438;12
47;0;10531;11
48;0;10688;14
49;0;15578;0
50;0;15563;15
51;0;15969;0
52;0;15563;0
53;0;15687;0
54;0;16703;0
55;0;15984;0
56;16;18063;0
57;0;10375;7
58;0;11579;9
59;16;11547;14
60;15;10204;0
61;0;11219;7
62;0;10391;5
63;0;10406;11
64;0;10531;6
65;0;10344;7
66;0;10453;7
67;0;11063;8
68;16;10609;4
69;0;15625;0
70;0;10390;3
71;0;15673;0
72;0;15625;0
73;0;15390;0
74;0;15235;0
75;0;15328;0
76;0;15438;0
77;0;16203;0
78;0;15391;0
79;0;15297;0
80;16;15844;0
81;0;15359;0
82;0;10281;15
83;0;10203;16
84;0;10437;16
85;0;10329;3
86;16;10250;13
87;0;10375;17
88;0;10438;11
89;0;10376;4
90;0;10297;9
91;0;10282;7
92;16;10531;8
93;0;10360;2
94;0;10453;12
95;0;10562;5
96;0;10391;15
97;16;10797;5
98;0;10390;9
99;0;10578;7
100;0;10390;17
101;0;10359;9
102;0;18719;0
103;0;15126;0
104;0;15656;0
105;16;10391;11
106;0;10703;16
107;0;10141;2
108;0;10235;12
109;0;10203;7
110;15;11594;11
111;0;10266;5
112;0;10516;3
113;0;10360;6
114;0;10297;7
115;0;10360;3
116;0;10781;6
117;0;10657;11
118;0;15844;0
119;0;15469;0
120;0;15750;0
121;0;15141;0
122;0;10281;3
123;0;10844;6
124;0;10266;16
125;0;10422;10
126;0;10453;9
127;0;10313;15
128;16;10344;4
129;0;10438;8
130;0;10328;16
131;15;10407;7
132;0;10312;17
133;0;10313;6
134;0;10062;6
135;0;10390;3
136;0;10469;3
137;0;10484;12
138;0;10359;12
139;0;15969;0
140;0;10250;15
141;0;10422;9
142;15;10281;7
143;0;15453;0
144;0;10266;4
145;0;15468;0
146;0;15641;0
147;0;15297;0
148;0;15937;0
149;0;15344;0
150;16;15906;0
151;0;15110;0
152;0;15532;0
153;0;10250;12
154;0;10313;0
155;0;10937;11
156;0;10328;11
157;0;10125;14
158;0;10078;15
159;0;10359;13
160;0;10406;7
161;0;10328;3
162;0;10391;11
163;0;10562;2
164;0;10563;8
165;0;10469;5
166;0;16109;0
167;0;15532;0
168;0;16515;0
169;0;15468;0
170;0;15985;0
171;0;15250;0
172;0;10672;6
173;0;10344;11
174;0;10328;9
175;0;10344;7
176;0;10297;12
177;0;10219;15
178;0;10266;3
179;0;10375;16
180;15;10422;13
181;0;10375;11
182;0;10360;16
183;0;10469;12
184;0;10376;5
185;0;10516;6
186;0;10376;14
187;0;10313;1
188;0;10391;3
189;0;10344;2
190;0;10219;9
191;0;10547;12
192;0;10859;5
193;0;15360;0
194;0;15657;0
195;0;15282;0
196;0;15922;0
197;0;15454;0
198;0;15609;0
199;0;15282;0
200;15;15282;0
201;0;15297;0
202;0;10265;9
203;0;10313;7
204;0;10250;12
205;0;10234;8
206;0;10297;16
207;0;10609;6
208;0;10266;11
209;0;10719;4
210;0;10922;14
211;0;10828;12
212;0;10687;5
213;0;10735;9
214;0;10265;16
215;16;10312;9
216;0;10359;7
217;0;10329;6
218;0;10250;16
219;0;11062;7
220;0;10406;12
221;0;10344;15
222;0;10407;2
223;0;10344;4
224;0;10031;16
225;0;15500;0
226;0;9906;10
227;0;10344;8
228;0;10468;2
229;0;10563;12
230;0;10625;12
231;0;10501;15
232;0;9968;15
233;0;10313;15
234;0;10094;3
235;0;10281;8
236;0;10438;6
237;0;10422;3
238;0;15390;0
239;0;15422;0
240;0;15328;0
241;0;15579;0
242;15;15219;0
243;0;10344;6
244;0;10469;7
245;0;10375;4
246;0;10281;2
247;0;10156;2
248;0;10094;13
249;0;10626;4
250;0;10313;9
251;0;10125;17
252;0;10188;11
253;0;10218;4
254;0;10500;12
255;0;10437;13
256;0;10469;5
257;0;10438;15
258;0;10406;13
259;0;10329;13
260;0;10265;15
261;0;10297;14
262;0;10328;2
263;0;10422;5
264;0;10422;3
265;0;10313;10
266;0;10265;5
267;0;10157;13
268;0;10782;15
269;0;10313;15
270;0;10328;5
271;0;10406;13
272;0;10828;9
273;0;10344;6
274;0;11063;12
275;15;10375;12
276;0;10391;2
277;0;10641;15
278;0;10516;14
279;0;10234;4
280;0;10250;14
281;0;15281;0
282;0;15516;0
283;0;10281;21
284;0;15672;0
285;0;10547;16
286;0;10422;11
287;0;10391;6
