;Learn Tree;Learn VAR Model;Forecast
2;31;16;0
3;1;0;0
4;15;0;0
5;0;0;0
6;16;0;0
7;0;0;0
8;0;0;0
9;0;0;0
10;16;0;0
11;16;0;0
12;16;0;0
13;0;0;0
14;0;0;0
15;0;0;0
16;15;0;0
17;0;0;0
18;0;0;0
19;0;0;0
20;16;0;0
21;0;0;0
22;16;0;0
23;16;0;0
24;0;0;0
25;15;0;0
26;0;0;0
27;15;0;0
28;2;0;0
29;0;0;0
30;0;0;0
31;15;0;0
32;0;0;0
33;0;0;0
34;15;0;0
35;0;0;0
36;0;0;0
37;0;0;0
38;0;0;0
39;0;0;0
40;16;0;0
41;0;0;0
42;0;0;0
43;15;0;0
44;0;0;0
45;15;0;0
46;15;0;0
47;15;0;0
48;0;0;0
49;0;27891;16
50;0;25766;16
51;0;25828;16
52;0;26391;0
53;0;25875;0
54;0;26266;0
55;0;25391;0
56;0;25922;0
57;0;17000;0
58;0;17110;0
59;0;17047;0
60;0;17063;0
61;0;16906;0
62;0;17063;0
63;16;17226;0
64;0;18546;0
65;0;16829;0
66;0;15362;0
67;0;5781;0
68;0;5641;0
69;0;8188;0
70;0;5500;0
71;0;8187;0
72;0;8422;0
73;0;8640;0
74;0;8250;0
75;0;8360;0
76;0;8390;0
77;0;8203;0
78;0;8172;0
79;0;8172;0
80;0;8344;0
81;0;8266;0
82;0;6016;0
83;0;5390;0
84;0;5438;0
85;0;5438;0
86;0;5516;0
87;0;5531;0
88;0;5719;0
89;0;5485;0
90;0;5516;0
91;0;5594;0
92;0;5610;0
93;0;5563;0
94;0;5407;0
95;0;5579;0
96;0;5344;0
97;0;5610;0
98;0;5547;0
99;0;5484;0
100;0;5422;0
101;0;5516;0
102;0;9125;0
103;0;8360;0
104;0;8125;0
105;0;5500;0
106;0;5500;0
107;0;5516;0
108;0;5453;0
109;0;5484;0
110;0;5532;0
111;0;5891;0
112;0;5422;0
113;0;5344;0
114;0;5532;0
115;0;5390;0
116;0;5532;0
117;0;5500;0
118;0;8422;0
119;0;8266;0
120;0;8532;0
121;16;8203;0
122;0;5422;0
123;0;5687;0
124;0;5484;0
125;0;5485;0
