;tempreatura;velocitavento;ozono;radiazionisolari;
ID: 3;0,0;0,0;0,0;0,0;
ID: 4;0,0;0,0;0,0;0,0;
ID: 5;0,0;0,0;0,0;0,0;
ID: 6;0,0;0,0;0,0;0,0;
ID: 7;0,0;0,0;0,0;0,0;
ID: 8;0,0;0,0;0,0;0,0;
ID: 9;0,0;0,0;0,0;0,0;
ID: 10;0,0;0,0;0,0;0,0;
ID: 11;0,0;0,0;0,0;0,0;
ID: 12;0,0;0,0;0,0;0,0;
ID: 13;0,0;0,0;0,0;0,0;
ID: 14;0,0;0,0;0,0;0,0;
ID: 15;0,0;0,0;0,0;0,0;
ID: 16;0,0;0,0;0,0;0,0;
ID: 17;0,0;0,0;0,0;0,0;
ID: 18;0,0;0,0;0,0;0,0;
ID: 19;0,0;0,0;0,0;0,0;
ID: 20;0,0;0,0;0,0;0,0;
ID: 21;0,0;0,0;0,0;0,0;
ID: 22;0,0;0,0;0,0;0,0;
ID: 23;0,0;0,0;0,0;0,0;
ID: 24;0,0;0,0;0,0;0,0;
ID: 25;0,3607825218205498;0,03350650660149089;0,12548148385721158;1,3822607104292128E-4;
ID: 26;0,4026243532511276;0,04108488677808259;0,1817532452353853;1,3980227415139423E-4;
ID: 27;0,3354902601029477;0,029368263099504494;0,16061769508533522;1,5248252955821E-4;
ID: 28;0,0771428788116886;0,03593441527283192;0,00992153785984152;2,0423307789441329E-4;
ID: 29;0,04640006876258074;0,027639808354088077;0,010384901378451486;2,0285211027598268E-4;
ID: 30;0,046122584881780136;0,019934203254777686;0,018697589572220244;2,2974551440028564E-4;
ID: 31;0,08702364907764601;0,019296052830313888;0,07507695639739118;2,213734119938911E-4;
ID: 32;0,03461107969671587;0,08151970017505245;0,07656428307035784;2,0313111569046646E-4;
ID: 33;0,14164761318938474;0,09963196781309436;0,0852607623485837;2,4594524738827996E-4;
ID: 34;0,18723959434545534;0,07967400728906118;0,02542126316848452;1,2594871406277136E-4;
ID: 35;0,12733647889041083;0,07230593785036374;0,034688455951877396;5,511585327824107E-5;
ID: 36;0,053914545148198184;0,04221625441099973;0,035950588407328746;3,564064268070753E-4;
ID: 37;0,10857497429306164;0,05514101955100512;0,09141206568578406;2,944471904569832E-4;
ID: 38;0,1678040194208864;0,0684785019319884;0,18954957375969608;5,553714080746916E-4;
ID: 39;0,16804422845182276;0,0768937041069782;0,19432274515645637;4,3624724631407587E-4;
ID: 40;0,24539732762388872;0,0866248522478654;0,4216791479194518;0,0010227512082266648;
ID: 41;0,20037167740626866;0,09930644445066114;0,38615832966749297;9,485351356823507E-4;
ID: 42;0,17268109896262876;0,11584765640616965;0,25518126810186054;6,924896292357303E-4;
ID: 43;0,20318858353755792;0,09319982847582296;0,20552540430495056;6,354849096015068E-4;
ID: 44;0,18457849217549993;0,08594237025744457;0,14124751714342929;4,988457492374784E-4;
ID: 45;0,3164813110161147;0,07510813290687769;0,3442288601386947;0,001043522121031042;
ID: 46;0,09473029071628465;0,047928988475063716;0,01723796353549327;1,5100521800932853E-4;
ID: 47;0,11791566168866079;0,032078666910892166;0,036824899980707176;2,8990550244912985E-4;
ID: 48;0,08790954066091686;0,020363843115129315;0,05201991855665756;3,817809567505603E-4;
ID: 49;0,11443521949560982;0,018232001110809592;0,06105479190227322;1,7765098711382374E-4;
ID: 50;0,1450002809161622;0,03898504184412905;0,056211802961129174;2,2510073408153376E-4;
ID: 51;0,15296282573710943;0,04817120952854179;0,04906443572857507;3,008323050209488E-4;
ID: 52;0,17011444060526945;0,05558076150171768;0,055896939621732;2,697797347233788E-4;
ID: 53;0,18912144538684372;0,059022184835216686;0,045082562626971974;2,4343513225829014E-4;
ID: 54;0,22966103037303176;0,07140612925638047;0,1093674848370703;2,1643998449214332E-4;
ID: 55;0,19845453571912483;0,04213059097151165;0,04919482366580805;1,5419001552229565E-4;
ID: 56;0,5155294026999021;0,037928451991253755;0,050920162963664285;1,6804215301576564E-4;
ID: 57;0,112128580943813;0,1353081440208188;0,059096759578746307;3,8931487574474254E-4;
ID: 58;0,5797906634748534;0,049777238753268;0,045249568994984446;4,137859096594353E-4;
ID: 59;0,3572940070038003;0,005499256848359107;0,01590754123115884;1,1906630008424612E-4;
ID: 60;0,18556570014865836;0,004612443660679418;0,006355414272205916;1,6055440629582926E-4;
ID: 61;0,16217047472165175;0,04167600596613883;0,003268490808064914;1,9271304266732487E-4;
ID: 62;0,15774734283140407;0,03052091526224566;0,0032907064725537826;1,6642841922733981E-4;
ID: 63;0,10154916322329113;0,02966430358917231;0,0034548656470269916;8,800958540434897E-5;
ID: 64;0,13764493394819038;0,003726653772236034;0,03691167987191216;1,8280443389484928E-4;
ID: 65;0,060850177663257586;0,036671783844729564;0,0043715658882903675;8,303099473665551E-5;
ID: 66;0,027276059107039292;0,021942541696640356;0,004010105022003983;1,2900314272498478E-4;
ID: 67;0,033690419189958465;0,010507265154277322;0,004697625675621396;9,566886739812493E-5;
ID: 68;0,03897211523545576;0,0023005284638643484;0,024783489270095996;1,245844331689265E-4;
ID: 69;0,04593975323283544;0,0013825215382627487;0,01526158788831898;1,292704521041227E-4;
ID: 70;0,11637673511290514;4,681565593665798E-4;0,020182236492837353;2,9333905422765393E-4;
ID: 71;0,07921741410299794;3,841792032262022E-4;0,023785853284617228;3,4236821960369874E-4;
ID: 72;0,1185798967092313;0,0017743989118015153;0,031384354997439044;4,6526778175485817E-4;
ID: 73;0,09122891108876623;0,0017084849192952254;0,04497149279559592;3,454862193285851E-4;
ID: 74;0,10585402482854551;0,002471634880296926;0,06616632308707139;6,363680347196832E-4;
ID: 75;0,10284858142948183;0,0012430909038113277;0,0644866288264877;4,45512018354267E-4;
ID: 76;0,10532003611721545;0,001222854920669165;0,06045830725843907;3,3328726461436914E-4;
ID: 77;0,0977328749109883;0,0016509234680499116;0,05789155881936415;3,303064623486177E-4;
ID: 78;0,37439806377867485;0,0022570195075575024;0,05794534946707388;3,2081515052054726E-4;
ID: 79;0,8405958932208919;0,010815659282565828;0,07303510918555726;3,3639317488034343E-4;
ID: 80;0,8789472947169475;0,009407390592671283;0,06445212023251556;3,7530564597633567E-4;
ID: 81;1,025849948026604;0,006423019525183084;0,06233956392828399;5,509345360548747E-4;
ID: 82;0,8759759953710325;0,010287159873959239;0,06916418609494451;6,644630889266541E-4;
ID: 83;0,15641827978562223;0,019230381805035647;0,032702984900627514;2,7256276145285873E-4;
ID: 84;0,006242006151888126;0,030314725201968366;0,021869965004618328;2,1041004272520923E-4;
ID: 85;0,0039492517396663655;0,03452906421849222;0,013436369366355293;7,543327184994248E-5;
ID: 86;0,025080417192313253;0,05012157884539212;0,013008320292195799;4,3463452239210104E-5;
ID: 87;0,028426960574034654;0,028015937016199713;0,0021416385878716094;3,9380699267805503E-5;
ID: 88;0,023576444587702142;0,06738823443462671;0,0018579701177197697;2,0708794831708418E-4;
ID: 89;0,009928725763081027;0,03919019965699042;0,0033991187954819464;2,573145484921057E-4;
ID: 90;0,011534257565224203;0,017135768242390045;0,01847623117085024;1,0085888892882016E-4;
ID: 91;0,016242194104927783;0,006526841421098548;0,04956628039889294;4,5755220516324166E-5;
ID: 92;0,02677629282052789;0,013583739875442194;0,025297042147027285;3,278224502851409E-5;
ID: 93;0,12406464915982696;0,007898288093701295;0,003919465800931748;1,1728660376864652E-5;
ID: 94;0,04774838280387976;0,028243655882236873;0,0033414774964690133;1,2232910234115179E-5;
ID: 95;0,010391594715734405;0,004467141242904783;0,021563986155266494;1,2166798726292127E-5;
ID: 96;0,04050567006683635;0,00305038367541132;0,026372687875362285;1,3064242530394614E-5;
ID: 97;0,06524270299740735;0,00363141417568195;0,005199856267060667;1,3935869088793846E-5;
ID: 98;0,05774108329878601;0,01058679432457366;0,0066323489053621235;1,3787831337444494E-5;
ID: 99;0,01192106468638367;0,012562661458806005;0,006867920449455866;1,7563918866642443E-5;
ID: 100;0,01947514611357704;0,010159833481713357;0,007935139115242743;1,5026850656751128E-4;
ID: 101;0,05320905695798626;0,012081859332690442;0,0360362910615858;1,474653148354576E-4;
ID: 102;0,06265462157947237;0,017584291061712446;0,06597605963357209;2,4406353519612492E-4;
ID: 103;0,10071688747765277;0,021862547221417183;0,05289617700780535;2,234421183298493E-4;
ID: 104;0,18199031016057757;0,04234966893436142;0,026739209027350882;1,8292564942835413E-4;
ID: 105;0,05410248971013119;0,017533503369531054;0,031571846193748976;4,2450849129700165E-4;
