;tempreatura;velocitavento;ozono;radiazionisolari;
ID: 3;0,0;0,0;0,0;0,0;
ID: 4;0,0;0,0;0,0;0,0;
ID: 5;0,0;0,0;0,0;0,0;
ID: 6;0,0;0,0;0,0;0,0;
ID: 7;0,0;0,0;0,0;0,0;
ID: 8;0,0;0,0;0,0;0,0;
ID: 9;0,0;0,0;0,0;0,0;
ID: 10;0,0;0,0;0,0;0,0;
ID: 11;0,0;0,0;0,0;0,0;
ID: 12;0,0;0,0;0,0;0,0;
ID: 13;0,0;0,0;0,0;0,0;
ID: 14;0,0;0,0;0,0;0,0;
ID: 15;0,0;0,0;0,0;0,0;
ID: 16;0,0;0,0;0,0;0,0;
ID: 17;0,0;0,0;0,0;0,0;
ID: 18;0,0;0,0;0,0;0,0;
ID: 19;0,0;0,0;0,0;0,0;
ID: 20;0,0;0,0;0,0;0,0;
ID: 21;0,0;0,0;0,0;0,0;
ID: 22;0,0;0,0;0,0;0,0;
ID: 23;0,0;0,0;0,0;0,0;
ID: 24;0,0;0,0;0,0;0,0;
ID: 25;0,7619019766818159;0,06225436387023362;0,2997916783766316;7,996553543944337E-4;
ID: 26;0,7859928724031146;0,09230999999270567;0,3057607766656028;7,221662135415207E-4;
ID: 27;0,8078626725906837;0,10700647371544815;0,37539691699393485;8,468940719480312E-4;
ID: 28;0,18500996831907912;0,09674324514062091;0,019900352855437863;6,909697369748405E-4;
ID: 29;0,06295523206741765;0,07538834731332841;0,020324409139902522;8,801316769239518E-4;
ID: 30;0,17321621532205744;0,06440432597281083;0,07580630341646129;8,194176034473568E-4;
ID: 31;0,12933155752019776;0,06619321746451781;0,09674504735934392;8,48838635525842E-4;
ID: 32;0,09256498344202213;0,1284059858586044;0,12787265337386625;8,397822819837291E-4;
ID: 33;0,17696021006060386;0,13297049162621777;0,0876369181801507;5,392713527089409E-4;
ID: 34;0,22119357064377265;0,12461531032499006;0,12543929918153224;6,933112805515227E-4;
ID: 35;0,26837225391038255;0,13107705483037654;0,12050333378799152;5,601538048552711E-4;
ID: 36;0,3217025416814274;0,10648962436228035;0,14490605240173743;0,0012009677943783312;
ID: 37;0,25092044458154256;0,1156613853240212;0,13806425243161763;5,481968695620843E-4;
ID: 38;0,37744500217309596;0,16089997723846852;0,3975989030789328;0,0012232149912676186;
ID: 39;0,4061737581314737;0,16699178499506123;0,5126749774987301;0,001606413057229506;
ID: 40;0,42664021706697763;0,16286508438864375;0,6543858793269475;0,001615110598013416;
ID: 41;0,39103484784552833;0,16343194662991178;0,7031825029737891;0,0016571791315519863;
ID: 42;0,5054490177320028;0,19485051055571817;0,790694999667023;0,0020214426402548813;
ID: 43;0,5726012628607621;0,209947676332129;0,8661968717482622;0,002316894882862386;
ID: 44;0,7148645355299516;0,17233133585640736;0,8352307642686432;0,0023122029721968787;
ID: 45;0,9060801490544345;0,1844167803283896;0,8286920988849897;0,002585053935622393;
ID: 46;0,18727358973847488;0,08682595547568853;0,06713185085674217;7,613123045955504E-4;
ID: 47;0,24686730486159691;0,09161361958913483;0,15320225552193464;6,800954807718035E-4;
ID: 48;0,25791284143729465;0,07647665582905475;0,17900522402646912;4,999379301329906E-4;
ID: 49;0,2691217469706892;0,08173072005665917;0,19314593999429683;5,373414601119594E-4;
ID: 50;0,602966219639705;0,15030464654487619;0,2100424890062411;2,8063096667136836E-4;
ID: 51;0,40614763257711645;0,11086702220912131;0,2081655938145531;3,331236433713057E-4;
ID: 52;0,3910519662333607;0,1237571405467635;0,2141703915014107;3,6880077777399844E-4;
ID: 53;0,45165168951432794;0,14311528588464384;0,22725117927429203;3,2640498915786925E-4;
ID: 54;0,4690443546309127;0,14564012837388382;0,22273575654165212;3,127139764673834E-4;
ID: 55;0,3333337522888103;0,10937597432400352;0,2215201109862389;2,968046256801072E-4;
ID: 56;0,6518079156769142;0,1053086870367238;0,2039576876765651;3,1770347037864095E-4;
ID: 57;0,18261471777479124;0,19721941476596563;0,18170126457834102;5,326751760046888E-4;
ID: 58;0,6605873285634637;0,09071714190672231;0,06876923691536808;8,791947254251106E-4;
ID: 59;0,7033676456396186;0,0171956992436107;0,04570272416443338;3,774693815941985E-4;
ID: 60;0,2059407556771221;0,033028304180576395;0,037312213960757415;7,135231624608978E-4;
ID: 61;0,2064108898747327;0,07263327883729584;0,014338065840055163;3,6303981584792666E-4;
ID: 62;0,19727892774468256;0,07817899067217714;0,014768334251609807;3,9954551905306345E-4;
ID: 63;0,19730558424608718;0,0725821210974884;0,007860198596388987;2,0925464214600084E-4;
ID: 64;0,14353346644470946;0,012584123280552199;0,06813801878066679;3,251572777030488E-4;
ID: 65;0,1420977637426504;0,07111619494624445;0,009444762575426223;1,7971828570967222E-4;
ID: 66;0,09891444141519785;0,08780225599601989;0,014321852944607765;5,930917763798954E-4;
ID: 67;0,17518341586985162;0,025496262836916826;0,019044733042506423;3,479645731892117E-4;
ID: 68;0,2298255976518861;0,01254753045389382;0,1449350445283646;4,8733528205478543E-4;
ID: 69;0,3202866372418746;0,01108451037556357;0,15230532034355518;5,661725982787253E-4;
ID: 70;0,2103661315038861;0,002689881154226673;0,04671875537811054;7,31023979589944E-4;
ID: 71;0,18984267140481526;0,0062973611223062;0,06894759030602327;7,769654168921806E-4;
ID: 72;0,14613688222268587;0,006446777789095577;0,07290142134891527;8,313131103514004E-4;
ID: 73;0,1536777410744557;0,005065026948395424;0,08267336205801622;0,0010721660730704657;
ID: 74;0,1491514454110499;0,0035448474774773878;0,1208002452501723;0,0011460119455429275;
ID: 75;0,4597654426423768;0,005497867240979608;0,13180032714292178;0,0010266275871299944;
ID: 76;0,6943208104051055;0,004923395715321464;0,11711412029524537;8,076529310872695E-4;
ID: 77;0,9000579246441509;0,006854183842110911;0,11802136584664548;7,458177963826108E-4;
ID: 78;1,0602704312710276;0,0077817204536930465;0,13015150049135868;7,205385836836697E-4;
ID: 79;1,264341763436048;0,014351747824555484;0,15494880052480386;6,506954185096853E-4;
ID: 80;1,378985141621247;0,02032351432791207;0,13386812191566938;7,770367020692939E-4;
ID: 81;1,3111465975143675;0,018824528227198444;0,11780013663363392;9,559993490971039E-4;
ID: 82;1,882561787716544;0,016599044418347864;0,11519483842307672;9,773142625918057E-4;
ID: 83;0,32876252003168727;0,02279910253813007;0,043395430003648136;8,38149914266939E-4;
ID: 84;0,03618621457300533;0,1323889790172627;0,037630984727521154;7,485624652222812E-4;
ID: 85;0,031274315363444126;0,0839403278027466;0,03700971685261428;8,820052329820397E-4;
ID: 86;0,07419445376940124;0,0780943463903759;0,0227552553629766;4,7002097368685226E-4;
ID: 87;0,09460862154625438;0,08907751840488301;0,02195653802758981;4,730710164505664E-4;
ID: 88;0,06188294637147294;0,10652019322169173;0,004530680697698497;8,269264046912902E-4;
ID: 89;0,06042447608974183;0,11461059221325563;0,00986231708108691;8,014984427177852E-4;
ID: 90;0,06316097891265497;0,06560853210971797;0,07165567257428394;8,072340647847995E-4;
ID: 91;0,07225942565762995;0,027742671167893175;0,12674249661133466;5,618240053825359E-4;
ID: 92;0,08414801010583234;0,02699516469646402;0,1001017055786207;6,472420474016411E-4;
ID: 93;0,20322030202212707;0,027709021313810374;0,008604014366828103;6,828970805440008E-4;
ID: 94;0,0705755717168685;0,057503140146870316;0,008435209656319657;5,637714588723772E-4;
ID: 95;0,06951482945666647;0,025292032920884666;0,06451699421988712;5,53459958493931E-4;
ID: 96;0,11108964378886681;0,014768286298314628;0,06281869655366353;5,516068270989248E-4;
ID: 97;0,2400756823720934;0,0067757224028847495;0,012375480853096638;4,607681853269236E-4;
ID: 98;0,27717230657025765;0,035342597601896196;0,01820120777377645;5,448368894819227E-4;
ID: 99;0,14902338114489624;0,0521691987260067;0,041625297522724466;5,660049702959661E-4;
ID: 100;0,17540519308247837;0,07190718718831157;0,06469429138637411;5,189341419890572E-4;
ID: 101;0,12987806610117544;0,08592150947682844;0,11471402796570884;8,014350190124232E-4;
ID: 102;0,1946062032497573;0,07962210825699279;0,147830564345375;8,359709003280687E-4;
ID: 103;0,40635209208845985;0,09857416054950403;0,1429482478500642;8,101064465765015E-4;
ID: 104;0,372771879572577;0,10108779398770996;0,12169520611385819;8,742264090144166E-4;
ID: 105;0,2043366312641585;0,0618523426359289;0,09736034425029223;9,714047759415827E-4;
ID: 106;0,17169530317283005;0,12577766681135288;0,03346934249521576;7,234150774563234E-4;
