;tempreatura;velocitavento;ozono;radiazionisolari;
ID: 3;0,0;0,0;0,0;0,0;
ID: 4;0,0;0,0;0,0;0,0;
ID: 5;0,0;0,0;0,0;0,0;
ID: 6;0,0;0,0;0,0;0,0;
ID: 7;0,0;0,0;0,0;0,0;
ID: 8;0,0;0,0;0,0;0,0;
ID: 9;0,0;0,0;0,0;0,0;
ID: 10;0,0;0,0;0,0;0,0;
ID: 11;0,0;0,0;0,0;0,0;
ID: 12;0,0;0,0;0,0;0,0;
ID: 13;0,0;0,0;0,0;0,0;
ID: 14;0,0;0,0;0,0;0,0;
ID: 15;0,0;0,0;0,0;0,0;
ID: 16;0,0;0,0;0,0;0,0;
ID: 17;0,0;0,0;0,0;0,0;
ID: 18;0,0;0,0;0,0;0,0;
ID: 19;0,0;0,0;0,0;0,0;
ID: 20;0,0;0,0;0,0;0,0;
ID: 21;0,0;0,0;0,0;0,0;
ID: 22;0,0;0,0;0,0;0,0;
ID: 23;0,0;0,0;0,0;0,0;
ID: 24;0,0;0,0;0,0;0,0;
ID: 25;0,0;0,0;0,0;0,0;
ID: 26;0,0;0,0;0,0;0,0;
ID: 27;0,0;0,0;0,0;0,0;
ID: 28;0,0;0,0;0,0;0,0;
ID: 29;0,0;0,0;0,0;0,0;
ID: 30;0,0;0,0;0,0;0,0;
ID: 31;0,0;0,0;0,0;0,0;
ID: 32;0,0;0,0;0,0;0,0;
ID: 33;0,0;0,0;0,0;0,0;
ID: 34;0,0;0,0;0,0;0,0;
ID: 35;0,0;0,0;0,0;0,0;
ID: 36;0,0;0,0;0,0;0,0;
ID: 37;0,0;0,0;0,0;0,0;
ID: 38;0,0;0,0;0,0;0,0;
ID: 39;0,0;0,0;0,0;0,0;
ID: 40;0,0;0,0;0,0;0,0;
ID: 41;0,0;0,0;0,0;0,0;
ID: 42;0,0;0,0;0,0;0,0;
ID: 43;0,0;0,0;0,0;0,0;
ID: 44;0,0;0,0;0,0;0,0;
ID: 45;0,0;0,0;0,0;0,0;
ID: 46;0,0;0,0;0,0;0,0;
ID: 47;0,0;0,0;0,0;0,0;
ID: 48;0,0;0,0;0,0;0,0;
ID: 49;0,1295816847619595;0,09723167535639599;0,09567256228884254;9,278281791386869E-4;
ID: 50;0,15528241513512553;0,09673010040015549;0,0824205872330737;9,055282836406342E-4;
ID: 51;0,14220792058642603;0,09776793700437407;0,08312447235549127;9,321749337442554E-4;
ID: 52;0,15655530657414304;0,0940702052225867;0,1037435204323724;8,933143421512004E-4;
ID: 53;0,15357863082885526;0,10200857234177292;0,11420136115361978;8,967648576770986E-4;
ID: 54;0,1479959700811667;0,1030647577071508;0,11856625249256396;8,895507577313418E-4;
ID: 55;0,1828941519023579;0,09831756116975388;0,09568308072579527;6,244869818716793E-4;
ID: 56;0,3810387748913376;0,10169458778202894;0,10366999372971562;5,744221327569849E-4;
ID: 57;0,20116081507026218;0,17345821784825968;0,11675159508783706;4,695569149323756E-4;
ID: 58;0,4973875828485471;0,10014566460374927;0,03761480331320782;4,694792252756277E-4;
ID: 59;0,5119678779660852;0,055838425490599045;0,0308012429300387;3,5168251346491325E-4;
ID: 60;0,28216038620561645;0,06406343312100138;0,028321786875852496;6,053264907313488E-4;
ID: 61;0,30286458995377996;0,0818527271770779;0,01416346734481976;3,3280805317543967E-4;
ID: 62;0,2919040432123947;0,10992927175978356;0,01329622231493772;3,8921917957979944E-4;
ID: 63;0,27143887313996135;0,11326389318482272;0,011538258044602945;2,567352482606666E-4;
ID: 64;0,27333168352051845;0,08011442700153217;0,056966929190921216;3,9205204255194823E-4;
ID: 65;0,17471439042963988;0,09834478225120713;0,01015800133363441;2,081198861210448E-4;
ID: 66;0,18383910165834136;0,09821611025107982;0,012497051833617571;3,5586054496925836E-4;
ID: 67;0,18235760826851932;0,09051993475689857;0,014940252758904224;3,2706489822157477E-4;
ID: 68;0,19602474834311817;0,05657455343264239;0,0626167061392712;3,573896184058627E-4;
ID: 69;0,2217041587621801;0,062476511980927796;0,0753949472020332;3,262713173871903E-4;
ID: 70;0,20628710917934434;0,060175347049546586;0,04616617696666465;2,3211227857390106E-4;
ID: 71;0,21793873848331835;0,03373566647366925;0,04998939286594606;2,3234321150348097E-4;
ID: 72;0,22817680822197053;0,03069633292230557;0,06773417374798442;4,262294378774509E-4;
ID: 73;0,2325496786975717;0,02559837386345881;0,06319997995057801;4,2494360782887084E-4;
ID: 74;0,22697505805779208;0,024647776992022207;0,0696889477023683;4,2356818785099765E-4;
ID: 75;0,28120956396373353;0,022061566446925505;0,06979777916014414;4,423610620191199E-4;
ID: 76;0,3120328811965985;0,024742679023005223;0,05624815847748257;3,53713584503972E-4;
ID: 77;0,3441942439874342;0,02688922672994425;0,056282319626485174;3,542681919116881E-4;
ID: 78;0,3692694901841853;0,028476803987185165;0,07040227618357293;3,9624843741496523E-4;
ID: 79;0,35225479423148176;0,027086207672697676;0,05768541099416167;3,4474077461072583E-4;
ID: 80;0,3590296581861174;0,026741282555519982;0,05106066160889961;3,685882788055461E-4;
ID: 81;0,3820315370325528;0,028174027540392294;0,05260028984063277;4,343445095368929E-4;
ID: 82;0,40584225355283493;0,030858812238856295;0,07616110887652722;4,353573120082054E-4;
ID: 83;0,4444587304590726;0,024378926780867134;0,021666831737662914;3,083252255443404E-4;
ID: 84;0,28772712807974754;0,0854175841493985;0,014117038539318736;2,440778329063132E-4;
ID: 85;0,2952380311433102;0,06522150087987692;0,014082079286096989;2,6581533169703196E-4;
ID: 86;0,3114699528837954;0,06715434049637967;0,014717590963958147;2,745974867461964E-4;
ID: 87;0,31430579682362636;0,061335528457580585;0,014947719854922476;2,980680872470219E-4;
ID: 88;0,2572190230841156;0,06878623256494706;0,014031061494332612;4,109132549508881E-4;
ID: 89;0,25039532835199596;0,06721001581579211;0,012223177922891496;3,189211320399557E-4;
ID: 90;0,26492618358333964;0,03804051416418039;0,0328823453411605;3,1940117470398807E-4;
ID: 91;0,2768909077741807;0,0261326382509041;0,0848311520396001;2,9500517787030403E-4;
ID: 92;0,28490542597285085;0,025840304078918148;0,0844845635160589;2,9834963761359376E-4;
ID: 93;0,4001841071495773;0,027148846807654243;0,00930458646878692;3,0803126373084256E-4;
ID: 94;0,2165874328263032;0,06260673769351553;0,013399464816236693;3,502996364951537E-4;
ID: 95;0,2199099324222412;0,029971085332838314;0,05667555139990897;3,5434972766379966E-4;
ID: 96;0,26851332104121134;0,027891261637939715;0,06311061824587143;3,760854271386187E-4;
ID: 97;0,21033218956870953;0,02768413957475623;0,01751962001072323;3,696162326615305E-4;
ID: 98;0,2193676013678788;0,02812450112531524;0,01775844606789813;3,269934360823023E-4;
ID: 99;0,09784137231480929;0,038209678607744796;0,030625541525802782;3,221267631617369E-4;
ID: 100;0,10036463950821882;0,04021583866822705;0,03624783368089783;3,8765398588592374E-4;
ID: 101;0,10574571404582277;0,039016617984167584;0,03578584950470093;5,31021919865432E-4;
ID: 102;0,1827216134624331;0,041691049552650496;0,0393222109234998;4,5988677827469524E-4;
ID: 103;0,23220278893264948;0,04184446833414352;0,04149686153579845;4,1006012059506504E-4;
ID: 104;0,21430628929712459;0,04122979131671165;0,04668261755330803;3,870502203186751E-4;
ID: 105;0,17770277549745528;0,05380085208625282;0,05234844368590682;4,7149791258923213E-4;
ID: 106;0,1608751246336924;0,08874912017730632;0,023069995732981602;4,5560249966515923E-4;
ID: 107;0,13102267009286933;0,07759510564439381;0,015154547164202555;3,310852319280777E-4;
ID: 108;0,12401664852802596;0,05680213089446263;0,10043904541058911;4,339268898082572E-4;
ID: 109;0,13211992610609866;0,058124689226331586;0,10379754766916574;4,5412555695325684E-4;
ID: 110;0,1715324293355606;0,036649401729243455;0,062416987289859484;6,295531151281758E-4;
ID: 111;0,21008969890751808;0,04449611429912028;0,06250305596510396;6,098790258723944E-4;
ID: 112;0,2842633364572055;0,070915914601942;0,011904007798784548;4,1697634306577197E-4;
ID: 113;0,3346016452301893;0,07096737099244368;0,060372087569419586;4,5563869392303575E-4;
ID: 114;0,2923525549479552;0,09081039711611727;0,014491139044590248;4,7791326844110995E-4;
ID: 115;0,3150651527201618;0,15358389193326655;0,01761213670142162;6,132672333248719E-4;
ID: 116;0,22711286897006178;0,05244277160456336;0,08918425248194296;5,012385026592402E-4;
ID: 117;0,22607793042275187;0,04917658655793264;0,16761635277644055;4,930287058043597E-4;
