;const_AIC;const_HQ;const_SC;const_FPE;trend_AIC;trend_HQ;trend_SC;trend_FPE;both_AIC;both_HQ;both_SC;both_FPE;none_AIC;none_HQ;none_SC;none_FPE;
ID: 25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;
ID: 26;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;19;
ID: 27;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;19;
ID: 28;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
ID: 29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 31;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 32;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;9;
ID: 33;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;4;
ID: 34;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;10;
ID: 35;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;
ID: 41;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 42;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;10;
ID: 43;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
ID: 44;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
ID: 45;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;16;
ID: 46;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;7;
ID: 47;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;8;
ID: 48;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9;
ID: 49;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;18;
ID: 50;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;17;
ID: 51;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;17;
