;const_AIC;const_HQ;const_SC;const_FPE;trend_AIC;trend_HQ;trend_SC;trend_FPE;both_AIC;both_HQ;both_SC;both_FPE;none_AIC;none_HQ;none_SC;none_FPE;best
ID: 2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 11;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 12;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 13;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 14;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 15;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 16;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 17;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 18;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 19;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 20;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 21;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 22;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 23;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 24;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 25;2,744259221977909;2,744259221977909;2,744259221977909;3,1967935998477057;72,54748995709598;72,54748995709598;72,54748995709598;44,32744113472481;423,4999485033655;423,4999485033655;423,4999485033655;100,21235055654009;3,056540494821689;3,056540494821689;3,056540494821689;1,5295143714543669;1,5108330382281083
ID: 26;2,6095348906254308;2,6095348906254308;2,6095348906254308;3,2792160956175134;76,47467821282861;76,47467821282861;76,47467821282861;43,56230634177413;423,98830818063846;423,98830818063846;423,98830818063846;319,61723132923515;2,9860321671939656;2,9860321671939656;2,9860321671939656;1,167783056708167;1,1622448347690328
ID: 27;2,451981082196372;2,451981082196372;2,451981082196372;3,086958636344344;93,61094645748898;93,61094645748898;93,61094645748898;58,96167744827283;411,59727666871265;411,59727666871265;411,59727666871265;123,13668348082375;3,023108261253377;3,023108261253377;3,023108261253377;1,1933390793846121;1,1547397925291902
ID: 28;2,448720315446951;2,448720315446951;2,448720315446951;3,222853309260017;95,8732819531672;95,8732819531672;95,8732819531672;56,466175811218605;342,0178863958062;342,0178863958062;342,0178863958062;111,48702759744151;2,927660923407594;2,927660923407594;2,927660923407594;0,9928955441681148;0,9928955441681148
ID: 29;2,0067852361603853;2,0067852361603853;2,0067852361603853;2,3758087665553;76,91592581248057;76,91592581248057;76,91592581248057;48,473894779685196;221,6149741324639;221,6149741324639;221,6149741324639;66,67679995342112;2,272146515501468;2,272146515501468;2,272146515501468;0,9357782722654086;0,9357782722654086
ID: 30;1,9958675353802333;1,9958675353802333;1,9958675353802333;2,6224912365976656;53,76058500656644;53,76058500656644;53,76058500656644;35,347624191881124;102,73307728840392;102,73307728840392;102,73307728840392;74,72958460462621;2,302860572424261;2,302860572424261;2,302860572424261;1,040100022049002;1,038665477484728
ID: 31;2,207890836753928;2,207890836753928;2,207890836753928;3,060772846942206;86,02468683438643;86,02468683438643;86,02468683438643;62,40252745917844;134,17026391841785;134,17026391841785;134,17026391841785;61,6272726493418;2,7101030555595074;2,7101030555595074;2,7101030555595074;1,4187916377037224;1,3148034975323124
ID: 32;2,4593416420521765;2,4593416420521765;2,4593416420521765;2,827522922049309;135,87119395728126;135,87119395728126;135,87119395728126;128,2551009969911;284,14034009266845;284,14034009266845;284,14034009266845;62,08681062261444;3,318589576238343;3,318589576238343;3,318589576238343;1,703497028937822;1,5032059140922926
ID: 33;2,56917261631556;2,56917261631556;2,56917261631556;3,7606965791206446;120,91224071165152;120,91224071165152;120,91224071165152;79,41055649492935;132,72211511421827;132,72211511421827;132,72211511421827;55,76516168670858;3,43500445107654;3,43500445107654;3,43500445107654;1,7901415912041239;1,4618022903341843
ID: 34;2,653271789388427;2,653271789388427;2,653271789388427;3,5875097101005293;93,24503195625252;93,24503195625252;93,24503195625252;63,39186324192899;137,63275249526308;137,63275249526308;137,63275249526308;63,215395566114324;3,2218461907543365;3,2218461907543365;3,2218461907543365;1,7424148147802616;1,6278687323250827
ID: 35;2,4439327187837696;2,4439327187837696;2,4439327187837696;3,459953587971181;85,00234131439491;85,00234131439491;85,00234131439491;53,58184413244723;133,86230811509108;133,86230811509108;133,86230811509108;54,89879862792288;3,08952002825177;3,08952002825177;3,08952002825177;1,6684511659598487;1,530147232176685
ID: 36;2,2905806408089124;2,2905806408089124;2,2905806408089124;2,5260008126264095;73,99594806742356;73,99594806742356;73,99594806742356;47,88628409285312;85,93033253253148;85,93033253253148;85,93033253253148;46,19321899917596;2,7949738855484063;2,7949738855484063;2,7949738855484063;1,492416263103558;1,3764609242325383
ID: 37;2,174414934236309;2,174414934236309;2,174414934236309;2,6750275086186446;53,83534233531627;53,83534233531627;53,83534233531627;38,46017782085523;114,00017247562225;114,00017247562225;114,00017247562225;80,59739167760253;2,9235302403366763;2,9235302403366763;2,9235302403366763;1,2011671029166733;1,159571008278486
ID: 38;2,233789177082755;2,233789177082755;2,233789177082755;3,003861076035316;63,293698080499844;63,293698080499844;63,293698080499844;58,500789329230244;113,94758267658311;113,94758267658311;113,94758267658311;54,23422394428092;3,0112939116528286;3,0112939116528286;3,0112939116528286;1,3044637535471608;1,226625579538904
ID: 39;2,4467349349022722;2,4467349349022722;2,4467349349022722;2,837901296153366;99,74169870490246;99,74169870490246;99,74169870490246;55,47089032890657;87,6257659536655;87,6257659536655;87,6257659536655;69,90615234117178;2,976482337172911;2,976482337172911;2,976482337172911;1,461875171983583;1,3399418808820254
