;const_AIC;const_HQ;const_SC;const_FPE;trend_AIC;trend_HQ;trend_SC;trend_FPE;both_AIC;both_HQ;both_SC;both_FPE;none_AIC;none_HQ;none_SC;none_FPE;best
ID: 2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 11;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 12;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 13;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 14;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 15;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 16;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 17;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 18;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 19;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 20;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 21;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 22;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 23;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 24;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 25;0,014357019660422637;0,014357019660422637;0,014357019660422637;0,01868081093155138;0,20473764615676524;0,20473764615676524;0,20473764615676524;0,1790160765392201;0,2565012025291043;0,2565012025291043;0,2565012025291043;0,1359123844817545;0,023737599040088667;0,023737599040088667;0,023737599040088667;0,0110651229300486;0,009694515133175177
ID: 26;0,013770048478403562;0,013770048478403562;0,013770048478403562;0,018455562827810836;0,2380896454167862;0,2380896454167862;0,2380896454167862;0,17950053357398868;0,2200849786805388;0,2200849786805388;0,2200849786805388;0,11478694276888929;0,02310465447153399;0,02310465447153399;0,02310465447153399;0,010881145545470481;0,009511841815006809
ID: 27;0,01337500916111823;0,01337500916111823;0,01337500916111823;0,018503193882569616;0,2565177934271076;0,2565177934271076;0,2565177934271076;0,18039208551317876;0,19023734914150006;0,19023734914150006;0,19023734914150006;0,13116234528951165;0,02265540421700436;0,02265540421700436;0,02265540421700436;0,010391568979380107;0,00910425995343641
ID: 28;0,013938459364917869;0,013938459364917869;0,013938459364917869;0,01925522485818665;0,23572711542954694;0,23572711542954694;0,23572711542954694;0,17536637649912076;0,30037744983113174;0,30037744983113174;0,30037744983113174;0,17559213115168162;0,021854479096863656;0,021854479096863656;0,021854479096863656;0,009978125908795278;0,009029211716577334
ID: 29;0,014407905989879554;0,014407905989879554;0,014407905989879554;0,018831770875261306;0,2159676512208463;0,2159676512208463;0,2159676512208463;0,1416692717685039;0,530818496778501;0,530818496778501;0,530818496778501;0,29578694418752716;0,02077319298497616;0,02077319298497616;0,02077319298497616;0,008101790855111356;0,0076976838840822305
ID: 30;0,01239935012142625;0,01239935012142625;0,01239935012142625;0,019270340979515178;0,16585228751965905;0,16585228751965905;0,16585228751965905;0,11978042785423777;0,6810535985770308;0,6810535985770308;0,6810535985770308;0,33206794321575195;0,017448968390455677;0,017448968390455677;0,017448968390455677;0,004188439187732447;0,00404468612312665
ID: 31;0,0065671883666565695;0,0065671883666565695;0,0065671883666565695;0,013367672474290672;0,45859733489684734;0,45859733489684734;0,45859733489684734;0,28516011278843817;0,38160420255215033;0,38160420255215033;0,38160420255215033;0,21819600698131886;0,013889740796167014;0,013889740796167014;0,013889740796167014;0,003500183799389232;0,003187284793106995
ID: 32;0,005756775147477344;0,005756775147477344;0,005756775147477344;0,01014938717069211;1,0501376280885737;1,0501376280885737;1,0501376280885737;0,7407829052138326;1,0467075225741858;1,0467075225741858;1,0467075225741858;0,5537796642745778;0,00967002110157321;0,00967002110157321;0,00967002110157321;0,0029276577063720296;0,0027114938717716372
ID: 33;0,005018191406993484;0,005018191406993484;0,005018191406993484;0,00869708521475353;1,5394883678008051;1,5394883678008051;1,5394883678008051;0,9944350942398278;1,5920494870005095;1,5920494870005095;1,5920494870005095;1,1639382021863163;0,006894866310888678;0,006894866310888678;0,006894866310888678;0,0025672899325755246;0,0024010022909238767
ID: 34;0,00508167681637752;0,00508167681637752;0,00508167681637752;0,007584387393810778;1,9415702334499458;1,9415702334499458;1,9415702334499458;1,249634966108197;2,1821593570999953;2,1821593570999953;2,1821593570999953;1,226501574253959;0,007082211057945815;0,007082211057945815;0,007082211057945815;0,0029808192989906938;0,002751706636012653
ID: 35;0,009522934761571792;0,009522934761571792;0,009522934761571792;0,011471663777918611;6,474605423442123;6,474605423442123;6,474605423442123;4,848341981305946;6,004127695543476;6,004127695543476;6,004127695543476;3,9837793862673014;0,014424067413168281;0,014424067413168281;0,014424067413168281;0,0074197292997087196;0,006560559028221429
ID: 36;0,01248822865934465;0,01248822865934465;0,01248822865934465;0,016282127557355825;7,33874793865854;7,33874793865854;7,33874793865854;3,8171978495333776;8,453534945209308;8,453534945209308;8,453534945209308;3,182082576116291;0,020719099331853796;0,020719099331853796;0,020719099331853796;0,009308973852733361;0,008297892596433178
ID: 37;0,012259616616349406;0,012259616616349406;0,012259616616349406;0,016480166901282647;3,7344644230218966;3,7344644230218966;3,7344644230218966;1,549531337136111;4,047226031143957;4,047226031143957;4,047226031143957;1,5710208326845747;0,021920454482654835;0,021920454482654835;0,021920454482654835;0,010251944035447706;0,00871888305739639
ID: 38;0,012570054550475471;0,012570054550475471;0,012570054550475471;0,016922430846711942;1,1068942277914768;1,1068942277914768;1,1068942277914768;0,6954670031635402;1,1966034612292544;1,1966034612292544;1,1966034612292544;0,7491964012230584;0,021540758426747894;0,021540758426747894;0,021540758426747894;0,009379214545548364;0,008449675151799773
