;const_AIC;const_HQ;const_SC;const_FPE;trend_AIC;trend_HQ;trend_SC;trend_FPE;both_AIC;both_HQ;both_SC;both_FPE;none_AIC;none_HQ;none_SC;none_FPE;best
ID: 2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 11;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 12;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 13;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 14;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 15;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 16;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 17;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 18;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 19;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 20;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 21;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 22;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 23;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 24;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 25;0,00752651001732125;0,00752651001732125;0,00752651001732125;0,010325270621457994;0,1082658196746239;0,1082658196746239;0,1082658196746239;0,08262952264020028;0,18835614232890138;0,18835614232890138;0,18835614232890138;0,09228698903952952;0,009304006511185998;0,009304006511185998;0,009304006511185998;0,0036130411218158274;0,003417662152401408
ID: 26;0,007194113668677059;0,007194113668677059;0,007194113668677059;0,010215051286203976;0,11354669147735813;0,11354669147735813;0,11354669147735813;0,0850665164767744;0,16607768364920808;0,16607768364920808;0,16607768364920808;0,08507747990318844;0,009003512465005125;0,009003512465005125;0,009003512465005125;0,0033383244905133506;0,0032091205465753286
ID: 27;0,006496316529260028;0,006496316529260028;0,006496316529260028;0,009668156643715859;0,10006271066066866;0,10006271066066866;0,10006271066066866;0,08415414494614132;0,11555367455517962;0,11555367455517962;0,11555367455517962;0,07523325638093278;0,00851954515603912;0,00851954515603912;0,00851954515603912;0,003148126055603631;0,002991690623915318
ID: 28;0,005873930003156058;0,005873930003156058;0,005873930003156058;0,008908281977158275;0,06303072036712755;0,06303072036712755;0,06303072036712755;0,05901172342378641;0,07600606214861473;0,07600606214861473;0,07600606214861473;0,04677068465924436;0,008100819289838081;0,008100819289838081;0,008100819289838081;0,00311614744285608;0,0029754094209482823
ID: 29;0,005773990368728962;0,005773990368728962;0,005773990368728962;0,00799238058571501;0,0897623292739675;0,0897623292739675;0,0897623292739675;0,07319392536637213;0,08164098275366474;0,08164098275366474;0,08164098275366474;0,06106035321837657;0,008378575007995107;0,008378575007995107;0,008378575007995107;0,003423358948663744;0,0032323157699915505
ID: 30;0,006620596792360598;0,006620596792360598;0,006620596792360598;0,009363585038572018;0,10388326590546895;0,10388326590546895;0,10388326590546895;0,09016115226627183;0,19774711387226096;0,19774711387226096;0,19774711387226096;0,12716560365670393;0,008923947808435402;0,008923947808435402;0,008923947808435402;0,0037052491959955517;0,0035147337727809234
ID: 31;0,007373131587245372;0,007373131587245372;0,007373131587245372;0,010013525556620346;0,1285735337579293;0,1285735337579293;0,1285735337579293;0,0895206421033601;0,4837628500244266;0,4837628500244266;0,4837628500244266;0,29803171166754605;0,009526020391777634;0,009526020391777634;0,009526020391777634;0,003622319147321366;0,0035288925488723218
ID: 32;0,0066783284911878255;0,0066783284911878255;0,0066783284911878255;0,010204449094329491;0,38115538127794846;0,38115538127794846;0,38115538127794846;0,31548462323300264;0,7373687362952501;0,7373687362952501;0,7373687362952501;0,3545449568290076;0,008906101770558405;0,008906101770558405;0,008906101770558405;0,0036724974743927185;0,0035088574463293335
ID: 33;0,006848177586507627;0,006848177586507627;0,006848177586507627;0,00967441907416829;1,0902756685651969;1,0902756685651969;1,0902756685651969;0,6417542703490448;1,2892934487621377;1,2892934487621377;1,2892934487621377;0,5865233141870198;0,00893090009862233;0,00893090009862233;0,00893090009862233;0,003617122925605609;0,00342333074999864
ID: 34;0,006736800852126882;0,006736800852126882;0,006736800852126882;0,009600030731528863;2,0247856965788533;2,0247856965788533;2,0247856965788533;1,2870991207137275;1,9351380597428243;1,9351380597428243;1,9351380597428243;1,036005018265014;0,008743580589792334;0,008743580589792334;0,008743580589792334;0,0037004369879519764;0,003420844826453482
ID: 35;0,007220969168850603;0,007220969168850603;0,007220969168850603;0,008837032539346899;3,2029909080559276;3,2029909080559276;3,2029909080559276;1,7473156941412415;3,586198511160155;3,586198511160155;3,586198511160155;1,5386251213891817;0,00902948703626962;0,00902948703626962;0,00902948703626962;0,004017496424177463;0,0038858959046856926
ID: 36;0,007802864050220311;0,007802864050220311;0,007802864050220311;0,010073650390720012;3,7926063518466417;3,7926063518466417;3,7926063518466417;1,9460189542949653;4,350379331062116;4,350379331062116;4,350379331062116;1,9300276609462377;0,00959025304457657;0,00959025304457657;0,00959025304457657;0,004229763558780995;0,003979879734781024
ID: 37;0,007647715246951952;0,007647715246951952;0,007647715246951952;0,010124488037377992;2,0960708598411912;2,0960708598411912;2,0960708598411912;1,2450840683121596;2,6289815917454193;2,6289815917454193;2,6289815917454193;1,2346449063013474;0,009355182589159947;0,009355182589159947;0,009355182589159947;0,004229101920694121;0,004009027237806038
ID: 38;0,008217712482294175;0,008217712482294175;0,008217712482294175;0,011079544966964982;0,645207834509321;0,645207834509321;0,645207834509321;0,4627270388610614;0,766164026492502;0,766164026492502;0,766164026492502;0,4112338776931919;0,009896495713701084;0,009896495713701084;0,009896495713701084;0,0046031545561054585;0,00443295612509519
