;const_AIC;const_HQ;const_SC;const_FPE;trend_AIC;trend_HQ;trend_SC;trend_FPE;both_AIC;both_HQ;both_SC;both_FPE;none_AIC;none_HQ;none_SC;none_FPE;best
ID: 3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 11;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 12;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ID: 13;null;null;null;18,184994388481446;null;null;null;27,46954690132313;8,400104514279347;8,400104514279347;8,400104514279347;80,82958062613241;null;null;null;13,537380450811456;0,15793812530135
ID: 14;0,14998150896343487;0,14998150896343487;0,14998150896343487;39,212977491702055;0,7346039633174781;0,7346039633174781;0,7346039633174781;40,18511251436627;28,447071701266054;28,447071701266054;28,447071701266054;159,87167421940663;14,00717674955235;14,00717674955235;14,00717674955235;0,20833457797838276;0,14998150896343487
ID: 15;0,24512256053711334;0,24512256053711334;0,24512256053711334;60,09620756361681;0,5719575422123471;0,5719575422123471;0,5719575422123471;74,60492951530391;45,23411601368407;45,23411601368407;45,23411601368407;366,1571420612995;0,19759882591811875;0,19759882591811875;0,19759882591811875;1,229357922805866;0,14938801569427537
ID: 16;35,45949827132537;35,45949827132537;35,45949827132537;115,39845311089478;68,82786089086649;68,82786089086649;68,82786089086649;92,19050037007372;536,6726323399639;536,6726323399639;536,6726323399639;479,3968712235793;38,17513916031305;38,17513916031305;38,17513916031305;3,807066979659181;0,559059135945128
ID: 17;97,81432507563167;97,81432507563167;97,81432507563167;177,27160900507354;227,9010474289565;227,9010474289565;227,9010474289565;218,68903661147243;3409,275124727555;3409,275124727555;3409,275124727555;2523,3804077198447;105,81416921327273;105,81416921327273;105,81416921327273;2,9780704514648573;2,851299802499384
ID: 18;218,23978080504645;218,23978080504645;218,23978080504645;362,4408552107109;2489,6190561467793;2489,6190561467793;2489,6190561467793;1390,568367233476;27043,301472845324;27043,301472845324;27043,301472845324;23767,894982078175;262,3186876158844;262,3186876158844;262,3186876158844;12,53742407169014;1,3353225864047191
ID: 19;107,71985773232275;107,71985773232275;107,71985773232275;107,71985773232275;15195,679449940091;15195,679449940091;15195,679449940091;15195,679449940091;104204,1475132098;104204,1475132098;104204,1475132098;3280,042108210326;415,9340827143419;415,9340827143419;415,9340827143419;1,3301274724954296E-24;1,3301274724954296E-24
ID: 20;240,02023322532244;240,02023322532244;240,02023322532244;240,02023322532244;326,4853446221866;326,4853446221866;326,4853446221866;326,4853446221866;9747,91803607727;9747,91803607727;9747,91803607727;3313,520781652203;264,3123146327583;264,3123146327583;264,3123146327583;6,199901454379464E-23;6,199901454379464E-23
ID: 21;56,94519534291305;56,94519534291305;56,94519534291305;1104,0063055548133;91,01559558025738;91,01559558025738;91,01559558025738;91,01559558025738;6588,496820660887;6588,496820660887;6588,496820660887;6588,496820660887;1169,7702686137861;1169,7702686137861;1169,7702686137861;1169,7702686137861;56,94519534291305
ID: 22;323,13368138134706;323,13368138134706;323,13368138134706;323,13368138134706;342,2555747367753;342,2555747367753;342,2555747367753;342,2555747367753;5185,444127807747;5185,444127807747;5185,444127807747;5185,444127807747;342,2602761233325;342,2602761233325;342,2602761233325;342,2602761233325;323,13368138134706
