;Number of Cluster
2;1
3;1
4;1
5;1
6;1
7;1
8;1
9;3
10;13
11;16
12;15
13;17
14;17
15;18
16;16
17;15
18;15
19;1
20;1
21;1
22;1
23;1
24;1
25;1
26;1
27;1
28;1
29;1
30;1
31;1
32;1
33;3
34;12
35;14
36;15
37;17
38;18
39;16
40;18
41;14
42;14
43;1
44;1
45;1
46;1
47;1
48;1
49;1
50;1
51;1
52;1
53;1
54;1
55;1
56;1
57;4
58;12
59;15
60;16
61;19
62;18
63;18
64;19
65;15
66;14
67;1
68;1
69;1
70;1
71;1
72;1
73;1
74;1
75;1
76;1
77;1
78;1
79;1
80;1
81;3
82;12
83;13
84;15
85;17
86;13
87;16
88;19
89;18
90;2
91;1
92;1
93;1
94;1
95;1
96;1
97;1
98;1
99;1
100;1
