;Learn Tree;Learn VAR Model;Forecast
2;15;0;0
3;16;0;0
4;0;0;0
5;16;0;0
6;15;0;0
7;16;1250;46
8;15;1031;32
9;187;3453;16
10;93;13895;15
11;93;18594;15
12;47;17789;16
13;31;19204;15
14;15;18646;16
15;16;19769;16
16;15;17791;0
17;16;16645;15
18;32;16797;16
19;0;1063;0
20;0;1187;16
21;0;1188;0
22;0;1062;16
23;0;1081;16
24;0;1000;0
25;0;1032;15
26;0;984;0
27;0;1176;16
28;0;1023;0
29;0;1078;15
30;0;1031;16
31;0;1032;0
32;0;1000;15
33;47;3266;15
34;31;12853;16
35;31;15367;16
36;0;17312;0
37;16;19944;16
38;16;20281;16
39;15;17875;15
40;15;19771;16
41;16;15438;16
42;46;15754;16
43;46;1063;16
44;0;1188;15
45;0;1313;15
46;0;1047;16
47;0;1016;15
48;0;1016;0
49;0;1172;16
50;0;1140;0
51;16;984;16
52;0;1235;0
53;0;1063;15
54;0;1016;15
55;0;1141;15
56;0;1140;16
57;78;4266;16
58;15;12891;0
59;0;16484;16
60;16;17781;16
61;0;20513;15
62;15;19366;16
63;15;19367;15
64;16;21248;0
65;16;16297;16
66;32;15324;16
67;31;1141;0
68;0;1031;15
69;0;1031;0
70;0;1016;0
71;0;1016;0
72;0;1062;16
73;0;1172;0
74;0;1015;16
75;0;1110;15
76;0;1016;0
77;0;1031;63
78;0;983;0
79;0;984;0
80;0;1031;0
81;47;3344;16
82;15;12020;16
83;16;13841;0
84;15;16784;0
85;0;18974;0
86;16;13959;15
87;0;17479;16
88;0;20623;16
89;16;19359;15
90;0;2083;0
91;16;1093;16
92;0;1125;0
93;0;1047;0
94;0;1188;0
95;0;992;0
96;0;1031;0
97;0;1063;15
98;0;1022;0
99;0;1046;0
100;0;1140;0
