;Learn Tree;Learn VAR Model;Forecast
2;47;0;0
3;16;0;0
4;0;0;0
5;0;0;0
6;0;0;0
7;0;0;0
8;16;0;0
9;16;0;0
10;15;0;0
11;15;0;0
12;15;0;0
13;0;0;0
14;0;0;0
15;16;0;0
16;0;0;0
17;0;0;0
18;0;0;0
19;16;0;0
20;0;0;0
21;16;0;0
22;0;0;0
23;0;0;0
24;0;0;0
25;16;16955;15
26;0;14882;0
27;0;18041;10
28;1;16304;0
29;0;15621;5
30;16;15605;15
31;0;15039;16
32;0;15879;0
33;0;15930;0
34;0;16810;0
35;0;18257;7
36;1;17207;0
37;0;18970;3
38;2;19900;4
39;0;16958;0
40;0;17139;0
41;0;16922;0
42;16;15056;0
43;0;15614;0
44;0;14781;0
45;0;15608;0
46;0;14872;16
47;0;15047;0
48;0;14617;0
49;0;15045;0
50;0;15615;16
51;0;18700;0
52;0;19029;0
53;0;15448;0
54;0;15220;0
55;0;15271;0
56;0;15091;0
57;0;15838;0
58;0;16312;16
59;0;16622;0
60;0;17644;0
61;0;17973;15
62;0;18342;16
63;0;18747;0
64;0;16860;0
65;0;16641;0
66;0;14899;0
67;0;15041;0
68;0;14985;0
69;0;14828;0
70;16;15272;15
71;0;15268;0
72;0;15190;0
73;0;15359;0
74;0;14928;0
75;15;15107;0
76;0;14928;0
77;0;15052;15
78;16;14973;16
79;0;15267;0
80;0;15497;16
81;0;16329;0
82;0;16577;0
83;0;16946;15
84;0;16530;0
85;0;18630;0
86;16;18655;15
87;0;17107;0
88;15;16798;0
89;0;15520;16
90;0;14828;16
91;0;15207;0
92;0;15370;16
93;0;15374;15
94;0;14844;0
95;0;15292;15
96;0;14802;0
97;0;14959;0
98;0;15219;0
99;0;14509;0
100;0;14927;0
