;Learn Tree;Learn VAR Model;Forecast
2;15;0;0
3;16;0;0
4;15;0;0
5;0;0;0
6;15;0;0
7;16;0;0
8;0;0;0
9;0;0;0
10;16;0;0
11;0;0;0
12;15;0;0
13;0;0;0
14;0;0;0
15;15;0;0
16;0;0;0
17;0;16;0
18;0;0;0
19;0;0;0
20;15;0;0
21;15;0;0
22;0;0;0
23;0;0;0
24;0;0;0
25;15;0;0
26;0;0;0
27;0;0;0
28;0;0;0
29;0;0;0
30;0;0;0
31;0;0;0
32;0;0;0
33;0;0;0
34;16;0;0
35;0;0;0
36;0;0;0
37;0;0;0
38;16;0;0
39;0;0;0
40;0;0;0
41;15;0;0
42;0;0;0
43;0;0;0
44;16;0;0
45;16;0;16
46;15;0;0
47;0;0;0
48;15;0;0
49;15;14141;0
50;0;13563;0
51;16;14422;0
52;0;13453;0
53;0;13641;0
54;0;13656;0
55;0;10813;0
56;0;13594;0
57;0;17641;15
58;0;19063;0
59;0;16234;0
60;0;18984;0
61;0;18922;0
62;0;16376;0
63;0;16547;0
64;0;16328;0
65;0;10813;0
66;0;10922;0
67;0;10813;0
68;0;10876;0
69;0;10797;0
70;0;11094;0
71;0;10844;0
72;0;10813;0
73;0;10844;0
74;0;10813;0
75;0;10907;0
76;0;11953;16
77;0;11235;0
78;0;11406;0
79;0;16172;0
80;0;18906;0
81;0;16797;0
82;0;16219;0
83;0;16406;0
84;0;18969;0
85;0;16250;0
86;0;16094;0
87;0;13516;0
88;16;16281;0
89;0;13453;0
90;0;10922;16
91;15;16360;0
92;0;13547;0
93;0;10829;0
94;0;10797;0
95;0;13563;0
96;0;13297;0
97;0;13625;0
98;0;13531;0
99;0;13375;0
100;0;13688;0
