;Number of Cluster
2;5
3;5
4;4
5;4
6;4
7;4
8;4
9;3
10;4
11;5
12;4
13;5
14;4
15;4
16;4
17;4
18;4
19;4
20;4
21;3
22;4
23;4
24;4
25;4
26;6
27;7
28;7
29;8
30;9
31;4
32;4
33;4
34;5
35;4
36;4
37;3
38;3
39;4
40;4
41;4
42;4
43;3
44;4
45;4
46;4
47;3
48;5
49;2
50;3
51;3
52;3
53;3
54;3
55;4
56;5
57;5
58;5
59;6
60;7
61;8
62;6
63;6
64;6
65;4
66;3
67;3
68;4
69;2
70;2
71;4
72;2
73;2
74;2
75;3
76;4
77;5
78;5
79;5
80;5
81;7
82;5
83;6
84;6
85;7
86;6
87;6
88;7
89;5
90;6
91;7
92;6
93;6
94;4
95;6
96;6
97;6
98;5
99;5
100;5
