;Number of Cluster
2;5
3;4
4;4
5;5
6;3
7;4
8;4
9;3
10;3
11;4
12;4
13;3
14;4
15;4
16;4
17;4
18;4
19;4
20;4
21;4
22;4
23;5
24;4
25;4
26;4
27;2
28;5
29;3
30;4
31;4
32;5
33;4
34;5
35;4
36;4
37;4
38;4
39;3
40;4
41;4
42;4
43;3
44;4
45;4
46;4
47;4
48;4
49;4
50;4
51;3
52;2
53;2
54;3
55;5
56;5
57;5
58;4
59;4
60;4
61;5
62;4
63;4
64;5
65;3
66;4
67;5
68;3
69;2
70;5
71;3
72;2
73;2
74;3
75;4
76;4
77;4
78;5
79;5
80;7
81;7
82;6
83;6
84;5
85;5
86;7
87;7
88;6
89;6
90;6
91;6
92;7
93;7
94;6
95;7
96;5
97;6
98;6
99;6
100;6
