;Learn Tree;Learn VAR Model;Forecast
2;15;0;0
3;15;0;0
4;15;0;0
5;16;0;0
6;0;0;0
7;16;0;0
8;0;0;0
9;0;0;0
10;15;0;0
11;0;0;0
12;15;0;0
13;0;0;0
14;15;0;0
15;0;0;0
16;0;0;0
17;16;0;0
18;0;0;0
19;0;0;0
20;15;0;0
21;0;0;0
22;0;0;0
23;0;0;0
24;15;0;0
25;0;0;0
26;0;0;0
27;15;0;0
28;0;0;0
29;0;0;0
30;0;0;0
31;16;0;0
32;0;0;0
33;16;0;0
34;0;0;0
35;16;0;0
36;0;0;0
37;0;0;0
38;0;0;0
39;0;0;0
40;0;0;0
41;15;0;0
42;16;0;0
43;0;0;0
44;0;0;0
45;0;0;0
46;0;0;0
47;0;0;0
48;0;0;0
49;16;12484;0
50;16;5828;0
51;0;5454;0
52;0;8484;0
53;0;10797;0
54;0;11719;0
55;0;18875;15
56;0;16250;0
57;16;10734;0
58;16;11860;0
59;0;11187;0
60;0;14079;0
61;0;10876;0
62;0;11516;0
63;0;8000;0
64;0;10782;0
65;15;10766;0
66;0;11360;0
67;0;11266;0
68;0;12328;0
69;16;9750;0
70;0;14547;0
71;0;8609;0
72;0;5578;0
73;0;5437;0
74;0;5500;0
75;0;5422;0
76;0;5453;0
77;16;8203;0
78;0;8313;0
79;0;16172;0
80;0;13718;0
81;0;18954;0
82;0;18954;0
83;0;19625;0
84;16;16344;0
85;0;13640;0
86;0;16360;0
87;0;13594;0
88;0;13703;0
89;15;13594;0
90;0;16250;0
91;0;13625;0
92;0;16375;0
93;0;16469;0
94;0;17016;0
95;0;13563;0
96;0;10828;0
97;0;13719;0
98;0;16438;0
99;0;13610;0
100;15;16376;0
