;Learn Tree;Learn VAR Model;Forecast
2;15;0;0
3;0;0;0
4;16;0;0
5;15;0;0
6;16;0;0
7;16;0;0
8;0;0;0
9;16;0;0
10;15;0;0
11;16;0;0
12;15;0;0
13;0;0;0
14;0;0;0
15;16;0;0
16;0;0;0
17;16;0;0
18;0;0;0
19;0;0;0
20;0;0;0
21;15;0;0
22;0;0;0
23;0;0;0
24;0;0;0
25;0;0;0
26;0;0;0
27;0;0;0
28;0;0;0
29;0;0;0
30;0;0;0
31;0;0;0
32;0;0;0
33;16;0;0
34;0;0;0
35;0;0;0
36;0;0;0
37;0;0;0
38;0;0;0
39;0;0;0
40;0;0;0
41;0;0;0
42;0;0;0
43;0;0;0
44;0;0;0
45;0;0;0
46;0;0;0
47;0;0;0
48;0;0;0
49;0;17016;0
50;0;16657;0
51;0;16469;0
52;0;16438;0
53;0;16250;0
54;16;16265;0
55;16;16547;0
56;0;16718;0
57;0;13687;0
58;0;16266;0
59;0;10860;0
60;0;10938;0
61;0;10860;0
62;0;10812;0
63;0;14000;0
64;0;13453;0
65;0;13375;0
66;0;13438;0
67;0;13547;0
68;0;5407;0
69;0;8282;0
70;0;8594;0
71;0;8141;0
72;0;13703;0
73;0;10844;0
74;0;8266;0
75;0;13547;0
76;0;13547;0
77;0;13688;0
78;0;13844;0
79;0;13781;16
80;0;8297;0
81;0;10813;0
82;0;10797;0
83;0;10797;0
84;0;10875;16
85;0;8250;0
86;0;10859;0
87;0;10875;0
88;0;10860;0
89;0;10875;0
90;0;13407;0
91;0;8219;0
92;0;10968;0
93;0;11094;0
94;0;13547;0
95;0;8156;0
96;0;10890;0
97;0;10813;0
98;0;13782;0
99;0;13501;0
100;0;13407;0
