;Learn Tree;Learn VAR Model;Forecast
2;31;0;0
3;16;0;0
4;16;0;0
5;0;0;0
6;0;0;0
7;16;0;0
8;15;0;0
9;16;0;0
10;0;0;0
11;16;0;0
12;0;0;0
13;0;0;0
14;16;0;0
15;15;0;0
16;0;0;0
17;16;0;0
18;0;0;0
19;16;0;0
20;15;0;0
21;0;0;0
22;0;0;0
23;0;0;0
24;16;0;0
25;16;0;0
26;16;0;0
27;16;0;0
28;0;0;0
29;0;0;0
30;16;0;0
31;16;0;0
32;16;0;0
33;0;0;0
34;0;0;0
35;0;0;0
36;16;0;0
37;0;0;0
38;16;0;0
39;16;0;0
40;0;0;0
41;0;0;0
42;0;0;0
43;16;0;0
44;15;0;0
45;0;0;0
46;0;0;0
47;0;0;0
48;0;0;0
49;15;18282;0
50;0;17797;16
51;0;17532;0
52;0;17515;0
53;0;19906;0
54;0;20094;0
55;0;20734;0
56;0;20281;0
57;15;20422;0
58;0;16953;0
59;16;17110;0
60;0;17328;0
61;0;14094;0
62;0;14282;0
63;0;14375;0
64;0;17250;0
65;0;17141;0
66;0;19954;0
67;0;14406;0
68;0;14313;0
69;0;11375;0
70;0;11891;0
71;0;5672;0
72;0;11422;0
73;0;14515;0
74;0;11578;0
75;0;11860;0
76;0;8640;0
77;0;11860;15
78;16;11547;0
79;0;11266;0
80;0;13859;0
81;16;14047;0
82;0;8453;0
83;0;11203;0
84;0;8547;15
85;16;5578;0
86;0;5687;0
87;0;8422;0
88;0;8391;0
89;0;11234;0
90;0;11328;0
91;0;11328;0
92;0;11453;0
93;0;8390;0
94;0;5563;0
95;0;5672;0
96;0;8406;0
97;0;11203;0
98;0;11360;0
99;0;13953;0
100;0;14609;0
