;Learn Tree;Learn VAR Model;Forecast
2;16;0;0
3;0;0;0
4;0;0;0
5;16;0;0
6;16;0;0
7;0;0;0
8;0;0;0
9;15;0;0
10;0;0;0
11;16;0;0
12;15;0;0
13;16;0;0
14;0;0;0
15;15;0;0
16;0;0;0
17;0;0;0
18;0;0;0
19;0;0;0
20;0;0;0
21;0;0;0
22;16;0;0
23;0;0;0
24;0;0;0
25;0;0;0
26;15;0;0
27;0;0;0
28;0;0;0
29;16;0;0
30;15;0;0
31;0;0;0
32;0;0;0
33;0;0;0
34;0;0;0
35;0;0;0
36;0;0;0
37;0;0;0
38;16;0;0
39;16;0;0
40;0;0;0
41;0;0;0
42;0;0;0
43;16;0;0
44;0;0;0
45;0;0;0
46;0;0;0
47;0;0;0
48;0;0;0
49;0;18219;0
50;31;17126;16
51;16;17750;0
52;0;17172;0
53;0;17126;0
54;0;16891;0
55;0;17454;0
56;16;17750;0
57;16;14484;0
58;0;17063;0
59;0;11563;0
60;0;11437;0
61;0;11547;16
62;0;12094;0
63;0;14484;0
64;0;14406;0
65;0;14360;0
66;0;14500;0
67;0;14251;0
68;0;5813;0
69;0;8484;0
70;0;8937;0
71;0;8641;0
72;0;14625;0
73;0;11610;0
74;0;8922;0
75;0;14312;0
76;16;14828;0
77;0;14250;0
78;0;14516;15
79;0;14313;0
80;0;8485;0
81;0;11625;0
82;0;11234;0
83;0;11422;0
84;0;11266;0
85;0;8860;0
86;0;11422;0
87;0;11500;0
88;0;11281;0
89;0;11532;0
90;0;14204;0
91;0;8562;0
92;0;11344;0
93;0;11250;0
94;16;13937;0
95;0;8438;15
96;0;11376;0
97;0;11157;0
98;0;14750;0
99;0;14594;0
100;16;14281;0
