;Learn Tree;Learn VAR Model;Forecast
2;16;0;0
3;0;0;0
4;16;0;0
5;15;0;0
6;16;0;0
7;0;0;0
8;16;0;0
9;0;0;0
10;0;0;0
11;16;0;0
12;16;0;0
13;0;0;0
14;0;0;0
15;0;0;0
16;16;0;0
17;15;0;0
18;0;0;0
19;16;0;0
20;16;0;0
21;16;0;0
22;0;0;0
23;15;0;0
24;0;0;0
25;0;0;0
26;0;0;0
27;0;0;0
28;0;0;0
29;0;0;0
30;0;0;0
31;0;0;0
32;0;0;0
33;0;0;0
34;0;0;0
35;0;0;0
36;0;0;0
37;0;0;0
38;0;0;0
39;0;0;0
40;15;0;0
41;0;0;0
42;16;0;0
43;0;0;0
44;15;0;0
45;16;0;0
46;16;0;0
47;0;0;0
48;0;0;0
49;0;12141;0
50;0;17328;0
51;0;14360;0
52;16;14187;0
53;0;14203;0
54;0;18125;15
55;0;13828;0
56;0;14781;0
57;0;17282;0
58;0;16687;0
59;0;14266;0
60;16;16735;0
61;0;9156;0
62;0;14203;0
63;0;14110;0
64;0;14125;0
65;0;11328;0
66;15;11297;0
67;16;11562;16
68;0;5844;16
69;0;5844;15
70;0;8328;0
71;0;5657;0
72;0;8609;0
73;0;11687;0
74;0;8531;0
75;0;11500;0
76;0;14063;0
77;0;11219;0
78;0;11359;0
79;0;14782;0
80;0;9126;0
81;0;14031;0
82;0;8485;0
83;0;8609;0
84;0;11141;0
85;0;5562;0
86;0;11328;0
87;0;8625;0
88;0;8344;0
89;0;11344;0
90;0;11438;0
91;0;11422;0
92;0;11516;0
93;16;8656;0
94;0;5656;0
95;0;5703;0
96;0;8563;0
97;0;8360;0
98;0;5781;0
99;16;14000;16
100;0;11297;0
