;temperatura;velocitavento;ozono;radiazionisolari;temperatura;velocitavento;ozono;radiazionisolari
2;0;0;0;0;;;;
3;1,649592024;0,513565965;0,420164803;1,39E-04;;;;
4;1,905836178;0,578438714;0,582270093;1,55E-04;;;;
5;2,523804934;0,648106525;0,585891825;1,25E-04;;;;MIN
6;2,526987746;0,592996739;0,42491515;1,26E-04;;;;
7;3,311224128;0,538619348;0,307371377;0,003941628;;;;
8;2,304900373;0,485972764;0,467098051;0,040858744;;;;
9;2,384977441;1,189411802;1,113567208;0,10925604;;;;
10;3,046021881;1,18681041;1,526134741;0,122289523;;;;
11;3,440350803;1,145482762;1,879536439;0,163020107;;;;
12;3,380079349;1,093556524;2,046040256;0,193204854;;;;
13;3,58664838;0,934888149;1,977287472;0,142205988;;;;
14;3,429590136;1,024824039;1,890052504;0,113455865;;;;
15;2,991314714;0,708606604;1,645446161;0,068796516;;;;
16;1,728767344;0,461827996;1,305102749;0,081824521;;;;
17;1,462802132;0,479834837;0,920021309;0,096170632;;;;
18;1,424793301;0,623623752;0,757511198;0,141121726;;;;
19;1,995500467;0,584455989;0,950426726;0,180275639;;;;
20;2,312787705;0,665577039;1,303943506;0,162986964;;;;
21;2,43056653;0,889732659;1,449620415;0,107353414;;;;
22;2,621691355;0,899919621;1,323390058;0,05428213;;;;
23;2,412846436;1,142806311;1,190296184;0,027075037;;;;
24;2,182950693;0,703277431;1,019759994;0,01352045;;;;
25;1,92309878;0,839585804;0,991920852;0,006741486;;;;
26;1,661461986;0,929296958;0,759304052;0,003424995;;;;
27;1,377582938;0,806382119;0,698366055;0,001662146;;;;
28;1,566494136;0,600187134;0,687133369;8,50E-04;;;;
29;1,719534888;0,796797373;0,675123968;4,62E-04;;;;
30;2,69365726;0,941473335;0,620243736;2,39E-04;;;;
31;2,799696073;1,335197468;1,024057408;0,007222838;;;;
32;3,164130655;1,036875697;1,145689845;0,050871108;;;;
33;2,229691562;0,834871391;1,084453379;0,098954125;;;;
34;2,321531393;0,760183661;1,340323991;0,153688864;;;;
35;2,400088027;1,064955579;1,914416124;0,189216174;;;;
