;Learn Tree;Learn VAR Model;Forecast
2;16;0;0
3;0;0;0
4;0;0;0
5;4;0;0
6;0;0;0
7;0;0;0
8;0;0;16
9;16;0;0
10;15;0;0
11;0;0;0
12;16;0;0
13;0;0;0
14;0;0;0
15;16;0;0
16;0;0;0
17;0;0;0
18;0;0;0
19;0;0;0
20;0;0;0
21;0;0;0
22;0;0;0
23;0;0;0
24;16;0;0
25;0;0;0
26;16;0;0
27;0;0;0
28;0;0;0
29;0;0;0
30;0;0;0
31;0;0;0
32;0;0;0
33;0;0;0
34;0;0;0
35;0;0;0
36;0;0;0
37;1;0;0
38;0;0;0
39;0;0;0
40;0;0;0
41;0;0;0
42;0;0;0
43;16;0;0
44;0;0;0
45;0;0;0
46;0;0;0
47;0;0;0
48;0;0;0
49;0;17896;0
50;0;17237;0
51;15;17272;0
52;0;17004;0
53;0;19926;0
54;0;19928;0
55;0;20723;0
56;0;20621;0
57;0;20374;0
58;0;17237;0
59;0;17701;0
60;0;17458;0
61;0;13912;0
62;0;14242;0
63;0;14877;0
64;0;17074;0
65;0;17185;0
66;0;19732;0
67;0;14075;0
68;0;14118;0
69;0;11162;0
70;0;11192;0
71;0;5624;0
72;0;11375;0
73;0;13997;0
74;0;11355;0
75;0;11295;0
76;0;8464;0
77;0;11676;0
78;0;11239;0
79;0;11206;0
80;0;14515;0
81;0;14041;0
82;0;8537;0
83;0;11261;0
84;0;9514;0
85;0;5691;0
86;0;5565;0
87;0;8419;0
88;0;8322;0
89;0;11240;0
90;0;12073;0
91;0;11421;0
92;0;11420;0
93;0;8494;0
94;0;5716;0
95;0;5620;0
96;16;8842;0
97;0;11378;0
98;0;11208;0
99;0;14076;0
100;0;14172;0
