;Learn Tree;Learn VAR Model;Forecast
2;16;0;0
3;0;0;0
4;0;0;0
5;0;0;0
6;0;0;0
7;0;0;0
8;0;0;0
9;0;0;0
10;0;0;0
11;15;0;0
12;15;0;0
13;15;0;0
14;16;0;0
15;0;0;0
16;15;0;0
17;0;0;0
18;15;0;0
19;16;0;0
20;16;0;0
21;0;0;0
22;16;0;0
23;9;0;0
24;6;0;0
25;8;0;0
26;7;0;0
27;41;0;0
28;4;0;0
29;1;0;0
30;0;0;0
31;0;0;0
32;0;0;0
33;0;0;0
34;16;0;0
35;0;0;0
36;16;0;0
37;0;0;0
38;0;0;0
39;0;0;0
40;0;0;0
41;0;0;0
42;0;0;0
43;0;0;0
44;0;0;0
45;0;0;0
46;0;0;0
47;0;0;0
48;0;0;0
49;16;18264;0
50;0;14924;0
51;0;20048;0
52;0;17816;0
53;0;17626;0
54;0;20518;0
55;0;18156;0
56;0;17486;0
57;0;17181;0
58;0;17247;0
59;0;17277;0
60;0;17464;0
61;0;11687;0
62;0;11762;0
63;0;14530;0
64;0;11499;0
65;0;11428;0
66;0;11471;0
67;0;11489;0
68;0;11678;0
69;0;5772;0
70;0;8855;0
71;0;5536;0
72;0;8617;0
73;16;11595;0
74;0;8507;0
75;0;8390;0
76;0;12422;0
77;0;14544;0
78;0;11382;0
79;16;8356;0
80;16;8589;0
81;15;15506;0
82;0;11462;0
83;16;8223;0
84;0;11234;0
85;0;5799;1
86;0;9640;0
87;0;8474;0
88;0;8503;0
89;16;11313;0
90;0;11142;0
91;0;11579;0
92;0;11879;0
93;0;8689;0
94;0;8392;0
95;0;5674;0
96;0;5654;0
97;0;5686;0
98;0;11225;0
99;0;5697;0
100;0;11175;0
